#{"t_start": 1601386371.810156, "env_id": null}
r,l,t
-134.0,134,230.850539
-123.0,123,231.234336
-120.0,120,231.608387
-136.0,136,232.05855
-124.0,124,232.456013
-98.0,98,232.780327
-130.0,130,233.196624
-116.0,116,233.598518
-119.0,119,234.003418
-115.0,115,234.366269
-159.0,159,234.842714
-126.0,126,235.236025
-115.0,115,235.631027
-133.0,133,236.075283
-118.0,118,236.495692
-118.0,118,236.917906
-120.0,120,237.330219
-148.0,148,237.830579
-197.0,197,238.470554
-186.0,186,239.064661
-149.0,149,239.529364
-115.0,115,239.903894
-116.0,116,240.252866
-168.0,168,240.748454
-171.0,171,241.28596
-131.0,131,241.727368
-162.0,162,242.21004
-118.0,118,242.560131
-118.0,118,242.914739
-120.0,120,243.296816
-118.0,118,243.677939
-116.0,116,244.034582
-115.0,115,244.402334
-155.0,155,244.899076
-119.0,119,245.277266
-170.0,170,245.832999
-156.0,156,246.295707
-122.0,122,246.654925
-114.0,114,246.992181
-114.0,114,247.332968
-172.0,172,247.885115
-120.0,120,248.283015
-114.0,114,248.659983
-125.0,125,249.045572
-115.0,115,249.372729
-120.0,120,249.748402
-115.0,115,250.106759
-122.0,122,250.467932
-116.0,116,250.810896
-115.0,115,251.151904
-120.0,120,251.506361
-119.0,119,251.857756
-126.0,126,252.231611
-137.0,137,252.658984
-115.0,115,253.042084
-117.0,117,253.438863
-151.0,151,253.963743
-116.0,116,254.323771
-163.0,163,254.831672
-119.0,119,255.191299
