#{"t_start": 1600179371.5502489, "env_id": null}
r,l,t
20.0,20,0.62768
13.0,13,0.811863
43.0,43,0.863076
36.0,36,0.90889
80.0,80,1.003257
165.0,165,1.280357
143.0,143,1.448443
155.0,155,1.647689
100.0,100,1.770205
120.0,120,1.930469
125.0,125,2.091487
124.0,124,2.254466
152.0,152,5.718278
176.0,176,5.97797
174.0,174,6.25367
252.0,252,6.648918
500.0,500,7.344548
500.0,500,17.272151
269.0,269,17.62954
203.0,203,17.876031
132.0,132,18.042279
200.0,200,18.337284
125.0,125,20.709275
103.0,103,20.871357
132.0,132,21.048393
110.0,110,21.183986
131.0,131,21.380582
143.0,143,21.594658
165.0,165,21.821153
135.0,135,22.024149
129.0,129,22.202022
89.0,89,22.32893
200.0,200,26.232439
500.0,500,26.932754
500.0,500,27.605913
500.0,500,36.048254
500.0,500,36.701149
500.0,500,45.35673
500.0,500,46.05858
289.0,289,46.435977
261.0,261,46.770997
322.0,322,55.183735
500.0,500,55.880027
500.0,500,64.008778
500.0,500,64.65319
500.0,500,65.294611
500.0,500,73.240015
500.0,500,73.882244
