#{"t_start": 1600179371.5449631, "env_id": null}
r,l,t
22.0,22,0.633976
12.0,12,0.817818
35.0,35,0.865331
51.0,51,0.917289
58.0,58,1.002972
123.0,123,1.173369
204.0,204,1.455614
41.0,41,1.527038
103.0,103,1.650497
119.0,119,1.780775
124.0,124,1.942518
124.0,124,2.102988
134.0,134,2.269897
141.0,141,5.762858
162.0,162,5.983685
201.0,201,6.335081
305.0,305,6.783428
267.0,267,7.141267
500.0,500,17.09122
410.0,410,17.602482
217.0,217,17.882541
24.0,24,17.920267
232.0,232,18.219846
119.0,119,18.390346
109.0,109,20.757018
130.0,130,20.933029
86.0,86,21.05886
66.0,66,21.144382
141.0,141,21.373337
125.0,125,21.548898
162.0,162,21.77197
188.0,188,22.034817
149.0,149,22.249602
219.0,219,26.189745
500.0,500,26.886987
500.0,500,27.564736
500.0,500,36.009222
500.0,500,36.633159
500.0,500,45.312015
500.0,500,46.015079
210.0,210,46.278164
250.0,250,46.608043
280.0,280,54.960439
500.0,500,55.626467
500.0,500,56.323456
500.0,500,64.451307
500.0,500,65.065921
500.0,500,73.031959
500.0,500,73.679658
500.0,500,74.29606
