#{"t_start": 1600179371.553349, "env_id": null}
r,l,t
15.0,15,0.621549
14.0,14,0.6293
56.0,56,0.863925
9.0,9,0.867981
40.0,40,0.94616
65.0,65,1.031207
155.0,155,1.275937
410.0,410,1.770762
126.0,126,1.933375
139.0,139,2.12996
144.0,144,2.297721
211.0,211,5.88644
183.0,183,6.142389
172.0,172,6.467091
241.0,241,6.784622
500.0,500,7.47076
457.0,457,17.34841
266.0,266,17.704893
148.0,148,17.873406
163.0,163,18.084596
91.0,91,18.209846
126.0,126,18.38323
96.0,96,20.744368
117.0,117,20.912326
108.0,108,21.050063
112.0,112,21.222915
133.0,133,21.416812
153.0,153,21.631504
180.0,180,21.864219
124.0,124,22.066939
122.0,122,22.237298
121.0,121,22.409914
156.0,156,26.265374
500.0,500,26.933373
500.0,500,27.636067
500.0,500,36.049458
500.0,500,36.701614
500.0,500,45.390553
500.0,500,46.059942
365.0,365,46.5516
500.0,500,55.181694
500.0,500,55.87797
500.0,500,64.035419
500.0,500,64.650943
500.0,500,65.292379
500.0,500,73.23775
500.0,500,73.880172
