#{"t_start": 1600179371.5467992, "env_id": null}
r,l,t
24.0,24,0.63309
13.0,13,0.817628
13.0,13,0.824282
76.0,76,0.918249
63.0,63,1.005516
148.0,148,1.231614
222.0,222,1.530537
97.0,97,1.651621
28.0,28,1.690841
31.0,31,1.729413
41.0,41,1.774113
130.0,130,1.93825
131.0,131,2.101634
146.0,146,2.300197
196.0,196,5.85442
162.0,162,6.072843
264.0,264,6.526028
305.0,305,6.959275
500.0,500,16.88324
226.0,226,17.192557
300.0,300,17.592675
213.0,213,17.870867
95.0,95,17.964915
171.0,171,18.212177
146.0,146,18.394104
103.0,103,20.78776
100.0,100,20.918723
113.0,113,21.05875
112.0,112,21.232927
123.0,123,21.420929
134.0,134,21.597997
215.0,215,21.906474
188.0,188,22.166401
210.0,210,26.101329
500.0,500,26.79772
500.0,500,27.475813
500.0,500,35.925056
500.0,500,36.548665
500.0,500,45.226506
500.0,500,45.9232
450.0,450,46.518291
500.0,500,55.146098
500.0,500,55.841178
500.0,500,56.516896
500.0,500,64.617887
500.0,500,65.259915
500.0,500,73.232857
259.0,259,73.557911
500.0,500,74.171461
