#{"t_start": 1610027099.95791, "env_id": null}
r,l,t
29.0,29,226.242165
12.0,12,226.279765
500.0,500,227.847392
129.0,129,228.254308
500.0,500,229.822859
500.0,500,231.394204
500.0,500,232.983149
500.0,500,234.546819
500.0,500,236.112418
500.0,500,237.784983
500.0,500,239.350199
500.0,500,240.912885
