#{"t_start": 1600175509.721128, "env_id": null}
r,l,t
131.0,131,37.519041
157.0,157,37.687401
132.0,132,37.836875
121.0,121,37.97234
140.0,140,38.130131
138.0,138,38.287271
121.0,121,38.42269
186.0,186,38.629524
137.0,137,38.783933
124.0,124,38.912631
131.0,131,39.05472
122.0,122,39.192141
158.0,158,39.362868
168.0,168,39.54961
117.0,117,39.68094
239.0,239,39.935207
130.0,130,41.519832
121.0,121,41.649764
137.0,137,41.794513
164.0,164,41.967935
136.0,136,42.120721
123.0,123,42.260236
116.0,116,42.384847
126.0,126,42.516717
128.0,128,42.651641
119.0,119,42.779016
140.0,140,42.924103
133.0,133,43.070977
176.0,176,43.260176
121.0,121,43.385567
145.0,145,43.535592
227.0,227,43.771671
191.0,191,43.970762
209.0,209,44.193238
160.0,160,44.36768
165.0,165,44.553771
125.0,125,44.694466
125.0,125,44.832756
155.0,155,44.996257
144.0,144,45.145601
157.0,157,45.31199
125.0,125,45.446998
171.0,171,45.635839
123.0,123,45.768176
137.0,137,45.91392
418.0,418,46.354182
290.0,290,46.658941
136.0,136,46.801792
209.0,209,47.022248
128.0,128,47.157913
248.0,248,47.430445
274.0,274,47.729359
185.0,185,47.933473
274.0,274,48.235184
168.0,168,48.420494
142.0,142,48.57743
117.0,117,48.703209
109.0,109,48.828427
113.0,113,48.946799
105.0,105,49.057278
108.0,108,49.175183
111.0,111,49.288892
102.0,102,49.395044
119.0,119,49.526072
116.0,116,49.653128
116.0,116,49.77481
140.0,140,49.922473
122.0,122,50.056941
118.0,118,50.184717
136.0,136,50.327977
129.0,129,50.462425
168.0,168,50.638239
199.0,199,50.849267
124.0,124,50.985271
122.0,122,51.122426
247.0,247,51.382374
139.0,139,51.532892
119.0,119,51.655017
180.0,180,51.844206
165.0,165,52.028564
121.0,121,52.162295
170.0,170,53.786632
120.0,120,53.91188
128.0,128,54.048748
137.0,137,54.204174
127.0,127,54.338569
131.0,131,54.481189
233.0,233,54.737484
132.0,132,54.884351
139.0,139,55.038379
138.0,138,55.195863
122.0,122,55.331616
129.0,129,55.473695
130.0,130,55.612858
125.0,125,55.746448
128.0,128,55.882525
133.0,133,56.028811
134.0,134,56.173425
123.0,123,56.304644
141.0,141,56.45305
125.0,125,56.583651
115.0,115,56.704297
