serial_timesteps,n_updates,clipfrac,value_loss,ep_len_mean,approxkl,time_elapsed,fps,ep_reward_mean,policy_loss,total_timesteps,policy_entropy,explained_variance
38912,38,0.16914062,4.4949346,200.0,0.002216068,83.10295510292053,3596,-160.00619722,0.00065621635,311296,0.39604732,0.9861767832189798
39936,39,0.228715,1.6745532,200.0,0.003939488,85.38083624839783,4176,-157.9119888,0.0014046377,319488,0.39407715,0.9882907988503575
40960,40,0.31583253,2.950946,200.0,0.004416418,87.34276008605957,3572,-141.94885853,0.0014805248,327680,0.38715428,0.9890767857432365
41984,41,0.1843628,1.639975,200.0,0.0015272608,89.63610005378723,3589,-134.23909311,0.0005183247,335872,0.39161012,0.987066657282412
43008,42,0.12772624,3.8374903,200.0,0.0005840388,91.91871690750122,3589,-138.59976483000003,0.00037323637,344064,0.3743897,0.9908415293321013
44032,43,0.2517741,0.71875817,200.0,0.0021333864,94.20099830627441,3573,-143.81710249,0.0008975424,352256,0.38017502,0.9963365492876619
45056,44,0.3621704,0.6392673,200.0,0.0056080786,96.49388599395752,3574,-141.20242161000002,0.0013699885,360448,0.37407938,0.9819869957864285
46080,45,0.28318685,0.28991276,200.0,0.0012865927,98.7862720489502,4198,-135.70845477000003,0.0010220428,368640,0.37486595,0.995631308760494
47104,46,0.43206787,0.17474006,200.0,0.0022003686,100.73762893676758,3601,-138.1668909,0.0033266023,376832,0.3762759,0.9980580457486212
48128,47,0.21395263,3.5723994,200.0,0.00026191233,103.01277804374695,3561,-143.90056298999997,0.0005898856,385024,0.36906987,0.9891371969133615
49152,48,0.49114177,0.19070718,200.0,0.00072150433,105.3131091594696,3574,-147.69643068,0.0014267399,393216,0.37192777,0.997962872730568
