#{"t_start": 1601387504.6972759, "env_id": null}
r,l,t
-200.0,200,1.186956
-200.0,200,1.639478
-200.0,200,2.050239
-200.0,200,2.938602
-200.0,200,3.349565
-177.0,177,3.712841
-174.0,174,4.684041
-156.0,156,5.016294
-181.0,181,5.382673
-162.0,162,5.713372
-170.0,170,6.544817
-126.0,126,6.804153
-95.0,95,6.998728
-174.0,174,7.34129
-160.0,160,8.066608
-153.0,153,8.382945
-91.0,91,8.572599
-159.0,159,8.93691
-91.0,91,9.158984
-153.0,153,10.098402
-149.0,149,10.39736
-177.0,177,10.755495
-87.0,87,10.94027
-157.0,157,11.706074
-154.0,154,12.028553
-86.0,86,12.197419
-93.0,93,12.388709
-149.0,149,12.702695
-155.0,155,13.464665
-86.0,86,13.64709
-157.0,157,13.956734
-148.0,148,14.273494
-146.0,146,14.56582
-150.0,150,15.327099
-154.0,154,15.659284
-146.0,146,15.976573
-144.0,144,16.270171
-154.0,154,17.060691
-172.0,172,17.447444
-145.0,145,17.777417
-146.0,146,18.156068
-143.0,143,18.994408
-154.0,154,19.32246
-143.0,143,19.617563
-146.0,146,19.91847
-144.0,144,20.663793
-156.0,156,20.994309
-145.0,145,21.300513
-149.0,149,21.637228
-143.0,143,21.962619
-145.0,145,22.728268
-135.0,135,23.019783
-157.0,157,23.367168
-140.0,140,23.670429
-148.0,148,24.525022
-150.0,150,24.831637
-144.0,144,25.143113
-149.0,149,25.447654
-148.0,148,26.203256
-153.0,153,26.517664
-145.0,145,26.813333
-143.0,143,27.106661
-150.0,150,27.87479
-152.0,152,28.199885
-142.0,142,28.489894
-151.0,151,28.79267
-147.0,147,29.092388
-150.0,150,29.875338
-142.0,142,30.205403
-141.0,141,30.482996
-141.0,141,30.795503
-153.0,153,31.699687
-142.0,142,32.02642
-148.0,148,32.33446
-141.0,141,32.630701
-145.0,145,33.441132
-150.0,150,33.751382
-148.0,148,34.053363
-140.0,140,34.349834
-144.0,144,35.153217
-144.0,144,35.458363
-143.0,143,35.764533
-146.0,146,36.068256
-144.0,144,36.359694
-144.0,144,37.13345
-148.0,148,37.446245
-144.0,144,37.742651
-144.0,144,38.038233
-148.0,148,38.851933
-145.0,145,39.161052
-143.0,143,39.466162
-143.0,143,39.781769
-145.0,145,40.641537
-142.0,142,40.937192
-146.0,146,41.239668
-147.0,147,41.565209
-136.0,136,41.84816
-143.0,143,42.618928
-142.0,142,42.909546
-146.0,146,43.230551
-138.0,138,43.550204
-138.0,138,44.323839
-139.0,139,44.600932
-140.0,140,44.900431
-137.0,137,45.211102
-144.0,144,45.53128
-136.0,136,46.302121
-139.0,139,46.594028
-142.0,142,46.887449
-140.0,140,47.180305
-142.0,142,47.986037
-148.0,148,48.31474
-142.0,142,48.59456
-142.0,142,48.887209
-145.0,145,49.632744
-141.0,141,49.925682
-144.0,144,50.24011
-149.0,149,50.587356
-142.0,142,50.871489
-145.0,145,51.645725
-143.0,143,51.944569
-138.0,138,52.230038
-135.0,135,52.500631
-140.0,140,53.254489
-141.0,141,53.546085
-140.0,140,53.835846
-139.0,139,54.128241
-137.0,137,54.444281
-135.0,135,55.216726
-148.0,148,55.558436
-138.0,138,55.841662
-142.0,142,56.135645
-147.0,147,56.903555
-137.0,137,57.231341
-109.0,109,57.456915
-138.0,138,57.732866
-132.0,132,58.036859
-111.0,111,58.711192
-109.0,109,58.926258
-109.0,109,59.190423
-139.0,139,59.481728
-144.0,144,59.78455
-139.0,139,60.502876
-148.0,148,60.801774
-107.0,107,61.026139
-113.0,113,61.256104
-109.0,109,61.467514
-111.0,111,62.103521
-148.0,148,62.414541
-152.0,152,62.718283
-111.0,111,62.946158
-109.0,109,63.173124
-146.0,146,63.893942
-112.0,112,64.123614
-107.0,107,64.346954
-111.0,111,64.57658
-110.0,110,64.790549
-109.0,109,65.016372
-112.0,112,65.655129
-110.0,110,65.881037
-156.0,156,66.207413
-112.0,112,66.437402
-150.0,150,67.142644
-162.0,162,67.492053
-149.0,149,67.852266
-146.0,146,68.179132
-86.0,86,68.352043
-111.0,111,69.05353
-111.0,111,69.282296
-111.0,111,69.514192
-109.0,109,69.739203
-110.0,110,69.969272
-117.0,117,70.205813
-85.0,85,70.744403
-155.0,155,71.068897
-114.0,114,71.3007
-113.0,113,71.53309
-113.0,113,71.762679
-114.0,114,72.381256
-117.0,117,72.635188
-110.0,110,72.860966
-85.0,85,73.037068
-114.0,114,73.284552
-113.0,113,73.52386
-84.0,84,74.073996
-84.0,84,74.256729
-110.0,110,74.497128
-112.0,112,74.738233
-112.0,112,74.973575
-113.0,113,75.213997
-164.0,164,76.006824
-112.0,112,76.243993
-111.0,111,76.478177
-158.0,158,76.817169
-111.0,111,77.059276
-148.0,148,77.830624
-114.0,114,78.090192
-113.0,113,78.342066
-117.0,117,78.587536
-157.0,157,78.924087
-116.0,116,79.575978
-117.0,117,79.834511
-114.0,114,80.087444
-88.0,88,80.280414
-156.0,156,80.624284
-111.0,111,81.346215
-116.0,116,81.621743
-114.0,114,81.882265
-115.0,115,82.169453
-114.0,114,82.428333
-116.0,116,83.126273
-115.0,115,83.383137
-115.0,115,83.645515
-113.0,113,83.902156
-116.0,116,84.180318
-93.0,93,84.381496
-116.0,116,85.116208
-116.0,116,85.410826
-111.0,111,85.750215
-114.0,114,86.020972
-174.0,174,86.419687
-161.0,161,87.198978
-115.0,115,87.467455
-150.0,150,87.80359
-111.0,111,88.053891
-119.0,119,88.329193
-83.0,83,88.998961
-111.0,111,89.258354
-111.0,111,89.521907
-84.0,84,89.7221
-85.0,85,89.919042
-112.0,112,90.186905
-153.0,153,91.044266
-166.0,166,91.42749
-112.0,112,91.689669
-112.0,112,91.94626
-115.0,115,92.217005
-113.0,113,92.967641
-86.0,86,93.158285
-148.0,148,93.491008
-151.0,151,93.835254
-113.0,113,94.081714
-148.0,148,94.894873
-168.0,168,95.277771
-155.0,155,95.622228
-154.0,154,95.971199
-112.0,112,96.65877
-112.0,112,96.909055
-86.0,86,97.098695
-115.0,115,97.354647
-169.0,169,97.735199
-164.0,164,98.561636
-111.0,111,98.807886
-112.0,112,99.060788
-94.0,94,99.273722
-112.0,112,99.524882
-113.0,113,100.161302
-113.0,113,100.411596
-85.0,85,100.595371
-162.0,162,100.966656
-117.0,117,101.222847
-117.0,117,101.477587
-112.0,112,102.132216
-83.0,83,102.313061
-118.0,118,102.585604
-118.0,118,102.843798
-114.0,114,103.097747
-96.0,96,103.747929
-86.0,86,103.949674
-88.0,88,104.139582
-93.0,93,104.351618
-120.0,120,104.613201
-115.0,115,104.878078
-171.0,171,105.645348
-152.0,152,105.99921
-111.0,111,106.24996
-162.0,162,106.617885
-152.0,152,107.421406
-156.0,156,107.77456
-85.0,85,107.967986
-96.0,96,108.183763
-157.0,157,108.543494
-114.0,114,108.801034
-147.0,147,109.619562
-111.0,111,109.870418
-117.0,117,110.131206
-157.0,157,110.484904
-152.0,152,111.239399
-86.0,86,111.441509
-88.0,88,111.633103
-116.0,116,111.891746
-111.0,111,112.148305
-159.0,159,112.511493
-112.0,112,113.158067
-112.0,112,113.409407
-115.0,115,113.668185
-116.0,116,113.939303
-86.0,86,114.128263
-111.0,111,114.894299
-115.0,115,115.154519
-112.0,112,115.407789
-91.0,91,115.617438
-111.0,111,115.868003
-170.0,170,116.244466
-88.0,88,116.899265
-89.0,89,117.092589
-83.0,83,117.286242
-111.0,111,117.53469
-155.0,155,117.868201
-112.0,112,118.116025
-111.0,111,118.826807
-115.0,115,119.078964
-114.0,114,119.33055
-116.0,116,119.599903
-116.0,116,119.840795
-115.0,115,120.468584
-112.0,112,120.716441
-83.0,83,120.89769
-113.0,113,121.147891
-154.0,154,121.497249
-116.0,116,122.147906
-113.0,113,122.397111
-114.0,114,122.647693
-113.0,113,122.908611
-158.0,158,123.245536
-147.0,147,124.058909
-86.0,86,124.24461
-150.0,150,124.571421
-151.0,151,124.914114
-113.0,113,125.163985
-111.0,111,125.873928
-152.0,152,126.213156
-148.0,148,126.555485
-87.0,87,126.749862
-151.0,151,127.088423
-156.0,156,127.881069
-110.0,110,128.136175
-114.0,114,128.396983
-111.0,111,128.648924
-116.0,116,128.913147
-85.0,85,129.116278
-116.0,116,129.795333
-86.0,86,129.989562
-115.0,115,130.248753
-111.0,111,130.503
-114.0,114,130.772865
-116.0,116,131.487509
-115.0,115,131.747797
-115.0,115,132.019083
-116.0,116,132.27682
-116.0,116,132.551139
-117.0,117,132.80046
-117.0,117,133.460568
-91.0,91,133.670681
-113.0,113,133.926398
-115.0,115,134.182898
-112.0,112,134.439208
-116.0,116,135.102739
-112.0,112,135.359883
-96.0,96,135.585853
-86.0,86,135.791282
-112.0,112,136.063677
-88.0,88,136.260693
-118.0,118,136.968585
-113.0,113,137.225794
-115.0,115,137.486787
-115.0,115,137.756002
-85.0,85,137.94869
