#{"t_start": 1601387504.7024949, "env_id": null}
r,l,t
-200.0,200,1.182035
-200.0,200,1.634581
-200.0,200,2.045332
-200.0,200,2.933592
-163.0,163,3.273075
-190.0,190,3.665092
-150.0,150,4.580871
-200.0,200,4.992894
-171.0,171,5.346984
-171.0,171,5.701687
-181.0,181,6.547155
-167.0,167,6.894539
-158.0,158,7.205968
-158.0,158,7.927458
-164.0,164,8.271274
-91.0,91,8.448076
-150.0,150,8.771866
-89.0,89,8.980259
-144.0,144,9.936087
-85.0,85,10.10579
-163.0,163,10.44806
-149.0,149,10.745165
-153.0,153,11.063968
-163.0,163,11.850598
-156.0,156,12.159845
-150.0,150,12.473432
-84.0,84,12.641421
-155.0,155,13.418059
-152.0,152,13.719239
-89.0,89,13.905752
-148.0,148,14.210116
-145.0,145,14.502023
-153.0,153,15.279969
-147.0,147,15.576848
-147.0,147,15.907817
-152.0,152,16.225732
-160.0,160,17.022497
-150.0,150,17.350444
-144.0,144,17.673931
-145.0,145,18.063906
-143.0,143,18.910174
-145.0,145,19.217544
-141.0,141,19.510105
-143.0,143,19.801972
-145.0,145,20.105597
-146.0,146,20.852758
-150.0,150,21.169074
-158.0,158,21.509
-142.0,142,21.839289
-141.0,141,22.61541
-146.0,146,22.92142
-151.0,151,23.232066
-151.0,151,23.579908
-142.0,142,24.385536
-145.0,145,24.726406
-141.0,141,25.034415
-151.0,151,25.34153
-146.0,146,26.094205
-143.0,143,26.385775
-149.0,149,26.684439
-146.0,146,26.99519
-140.0,140,27.27045
-140.0,140,28.037427
-140.0,140,28.323919
-142.0,142,28.613707
-141.0,141,28.90494
-139.0,139,29.640118
-140.0,140,29.966206
-149.0,149,30.278166
-151.0,151,30.60619
-142.0,142,31.473252
-141.0,141,31.783008
-139.0,139,32.103882
-148.0,148,32.402197
-136.0,136,32.692665
-140.0,140,33.505635
-144.0,144,33.800657
-146.0,146,34.103479
-139.0,139,34.381698
-141.0,141,35.190176
-153.0,153,35.510077
-143.0,143,35.816097
-152.0,152,36.126632
-151.0,151,36.439801
-154.0,154,37.226916
-144.0,144,37.520927
-147.0,147,37.821471
-144.0,144,38.124355
-144.0,144,38.927197
-147.0,147,39.259337
-143.0,143,39.555595
-143.0,143,39.882167
-144.0,144,40.731413
-150.0,150,41.035726
-151.0,151,41.352944
-146.0,146,41.678693
-139.0,139,42.444397
-144.0,144,42.738915
-139.0,139,43.037529
-141.0,141,43.347852
-142.0,142,43.67476
-138.0,138,44.425684
-141.0,141,44.727425
-136.0,136,45.002917
-135.0,135,45.315263
-136.0,136,46.107275
-143.0,143,46.400376
-140.0,140,46.692191
-138.0,138,46.983171
-136.0,136,47.28295
-143.0,143,48.087268
-140.0,140,48.381386
-138.0,138,48.668958
-147.0,147,48.970539
-137.0,137,49.690542
-140.0,140,49.983278
-138.0,138,50.289856
-145.0,145,50.621485
-141.0,141,50.91578
-145.0,145,51.691429
-148.0,148,51.993455
-140.0,140,52.282201
-142.0,142,52.560411
-146.0,146,53.335163
-143.0,143,53.6314
-147.0,147,53.929823
-146.0,146,54.246709
-141.0,141,55.060831
-138.0,138,55.350294
-139.0,139,55.667298
-135.0,135,55.936801
-140.0,140,56.227626
-137.0,137,57.0055
-131.0,131,57.291781
-138.0,138,57.580283
-145.0,145,57.893899
-134.0,134,58.615808
-108.0,108,58.840976
-141.0,141,59.172056
-111.0,111,59.3883
-146.0,146,59.708078
-109.0,109,59.925255
-142.0,142,60.640685
-144.0,144,60.936843
-146.0,146,61.234175
-143.0,143,61.525972
-111.0,111,62.162152
-109.0,109,62.386208
-142.0,142,62.677955
-148.0,148,62.978224
-109.0,109,63.204113
-155.0,155,63.950216
-111.0,111,64.17804
-154.0,154,64.487075
-109.0,109,64.712229
-110.0,110,64.939502
-112.0,112,65.578373
-108.0,108,65.802333
-149.0,149,66.104456
-110.0,110,66.333538
-109.0,109,66.559472
-159.0,159,67.28919
-109.0,109,67.522546
-150.0,150,67.898751
-153.0,153,68.218376
-114.0,114,68.465178
-164.0,164,69.271027
-155.0,155,69.582715
-112.0,112,69.814241
-110.0,110,70.042063
-114.0,114,70.644045
-110.0,110,70.87275
-150.0,150,71.189122
-151.0,151,71.494368
-115.0,115,71.726761
-117.0,117,72.361501
-89.0,89,72.541136
-111.0,111,72.768147
-117.0,117,73.006393
-115.0,115,73.271584
-111.0,111,73.509286
-85.0,85,74.060316
-115.0,115,74.293847
-84.0,84,74.488862
-88.0,88,74.686175
-112.0,112,74.922404
-110.0,110,75.147088
-112.0,112,75.820224
-111.0,111,76.067325
-115.0,115,76.308925
-112.0,112,76.54459
-160.0,160,76.885782
-111.0,111,77.561962
-161.0,161,77.940861
-86.0,86,78.125908
-87.0,87,78.328772
-116.0,116,78.574124
-115.0,115,78.814808
-84.0,84,79.389669
-86.0,86,79.592342
-116.0,116,79.836031
-115.0,115,80.093951
-113.0,113,80.343745
-85.0,85,80.541307
-114.0,114,81.258988
-114.0,114,81.527004
-111.0,111,81.786575
-161.0,161,82.170431
-117.0,117,82.435112
-117.0,117,83.13292
-116.0,116,83.408064
-114.0,114,83.664319
-110.0,110,83.917488
-113.0,113,84.178274
-116.0,116,84.442065
-116.0,116,85.165975
-112.0,112,85.454563
-116.0,116,85.802073
-115.0,115,86.079996
-85.0,85,86.268043
-161.0,161,87.052552
-114.0,114,87.313872
-86.0,86,87.522834
-111.0,111,87.762294
-85.0,85,87.964347
-111.0,111,88.214709
-166.0,166,89.070246
-88.0,88,89.281325
-86.0,86,89.481529
-156.0,156,89.858122
-155.0,155,90.216324
-157.0,157,91.082554
-87.0,87,91.293231
-114.0,114,91.558082
-111.0,111,91.814759
-115.0,115,92.075235
-149.0,149,92.90309
-114.0,114,93.160725
-85.0,85,93.363514
-86.0,86,93.55174
-84.0,84,93.73635
-85.0,85,93.937125
-156.0,156,94.753535
-114.0,114,95.011019
-112.0,112,95.259076
-170.0,170,95.64975
-167.0,167,96.030043
-87.0,87,96.656799
-116.0,116,96.913543
-111.0,111,97.163604
-112.0,112,97.415624
-151.0,151,97.756657
-170.0,170,98.591411
-114.0,114,98.843115
-116.0,116,99.113897
-155.0,155,99.452688
-112.0,112,99.702955
-114.0,114,100.341009
-111.0,111,100.587574
-110.0,110,100.832367
-91.0,91,101.040117
-175.0,175,101.430053
-112.0,112,102.082243
-85.0,85,102.267011
-83.0,83,102.451006
-96.0,96,102.664758
-160.0,160,103.023584
-118.0,118,103.295338
-111.0,111,103.980069
-112.0,112,104.230567
-118.0,118,104.492063
-112.0,112,104.739384
-149.0,149,105.069211
