#{"t_start": 1601387504.6961029, "env_id": null}
r,l,t
-200.0,200,1.188053
-200.0,200,1.640568
-200.0,200,2.051334
-168.0,168,2.873428
-171.0,171,3.223768
-170.0,170,3.57907
-168.0,168,4.528469
-165.0,165,4.875659
-160.0,160,5.213553
-173.0,173,5.555574
-166.0,166,6.38526
-153.0,153,6.687065
-196.0,196,7.098548
-95.0,95,7.292097
-154.0,154,7.997417
-148.0,148,8.294675
-153.0,153,8.611767
-148.0,148,8.951847
-157.0,157,9.939897
-148.0,148,10.237711
-97.0,97,10.434976
-88.0,88,10.619671
-95.0,95,10.813254
-153.0,153,11.118588
-157.0,157,11.898615
-153.0,153,12.216126
-87.0,87,12.387251
-151.0,151,12.703766
-163.0,163,13.488648
-158.0,158,13.811354
-89.0,89,13.985848
-148.0,148,14.289426
-149.0,149,14.598116
-145.0,145,15.353831
-147.0,147,15.664808
-142.0,142,15.976405
-144.0,144,16.270043
-151.0,151,17.04359
-144.0,144,17.365777
-147.0,147,17.705902
-154.0,154,18.104194
-143.0,143,18.954551
-156.0,156,19.284403
-150.0,150,19.588794
-144.0,144,19.886566
-143.0,143,20.6313
-152.0,152,20.956917
-150.0,150,21.269677
-149.0,149,21.607107
-140.0,140,21.927646
-144.0,144,22.690954
-151.0,151,23.017213
-151.0,151,23.337841
-148.0,148,23.669891
-147.0,147,24.509331
-140.0,140,24.803456
-150.0,150,25.136762
-143.0,143,25.421238
-143.0,143,26.170071
-145.0,145,26.463272
-145.0,145,26.770401
-149.0,149,27.071726
-147.0,147,27.833811
-142.0,142,28.13604
-143.0,143,28.42778
-143.0,143,28.718916
-144.0,144,29.016289
-139.0,139,29.752735
-149.0,149,30.106351
-140.0,140,30.399463
-143.0,143,30.695371
-147.0,147,31.588774
-142.0,142,31.915249
-143.0,143,32.215584
-149.0,149,32.527022
-141.0,141,32.823561
-154.0,154,33.655871
-145.0,145,33.952078
-141.0,141,34.247961
-138.0,138,34.536442
-144.0,144,35.350963
-145.0,145,35.651507
-153.0,153,35.973295
-142.0,142,36.262603
-149.0,149,37.054587
-145.0,145,37.349945
-149.0,149,37.650525
-143.0,143,37.94657
-145.0,145,38.757337
-150.0,150,39.068092
-146.0,146,39.378949
-147.0,147,39.704185
-142.0,142,40.028735
-147.0,147,40.872009
-142.0,142,41.170089
-143.0,143,41.476044
-151.0,151,41.805548
-144.0,144,42.577327
-132.0,132,42.842756
-140.0,140,43.155803
-138.0,138,43.467658
-139.0,139,44.237806
-134.0,134,44.518349
-142.0,142,44.808927
-143.0,143,45.118031
-138.0,138,45.434158
-138.0,138,46.228707
-144.0,144,46.523016
-139.0,139,46.802378
-141.0,141,47.104776
-139.0,139,47.910916
-145.0,145,48.222567
-136.0,136,48.496263
-146.0,146,48.806354
-140.0,140,49.086203
-140.0,140,49.824323
-139.0,139,50.12574
-142.0,142,50.446391
-145.0,145,50.759735
-145.0,145,51.517263
-143.0,143,51.830618
-139.0,139,52.107542
-146.0,146,52.404054
-140.0,140,52.691893
-141.0,141,53.449127
-138.0,138,53.736354
-142.0,142,54.035001
-145.0,145,54.345951
-139.0,139,55.145274
-137.0,137,55.458504
-147.0,147,55.771914
-139.0,139,56.059527
-138.0,138,56.333299
-141.0,141,57.126735
-143.0,143,57.43146
-108.0,108,57.656918
-146.0,146,57.974985
-140.0,140,58.714843
-137.0,137,58.998074
