#{"t_start": 1601387504.70138, "env_id": null}
r,l,t
-200.0,200,1.183075
-200.0,200,1.635617
-200.0,200,2.046368
-197.0,197,2.930767
-166.0,166,3.274094
-137.0,137,3.549098
-185.0,185,4.546109
-178.0,178,4.916749
-189.0,189,5.307315
-168.0,168,5.643575
-195.0,195,6.522221
-159.0,159,6.846813
-160.0,160,7.172762
-163.0,163,7.515306
-153.0,153,8.218831
-156.0,156,8.540304
-87.0,87,8.712715
-149.0,149,9.09258
-86.0,86,9.899444
-157.0,157,10.222739
-156.0,156,10.543613
-159.0,159,10.853137
-148.0,148,11.166444
-151.0,151,11.928268
-92.0,92,12.117457
-91.0,91,12.306123
-85.0,85,12.475798
-149.0,149,12.775797
-148.0,148,13.529614
-160.0,160,13.854674
-171.0,171,14.21249
-89.0,89,14.398688
-151.0,151,15.158955
-146.0,146,15.455063
-146.0,146,15.784019
-87.0,87,15.969971
-147.0,147,16.267582
-138.0,138,17.024866
-145.0,145,17.345299
-142.0,142,17.665355
-159.0,159,18.086729
-151.0,151,18.946672
-151.0,151,19.258282
-146.0,146,19.569884
-144.0,144,19.865249
-151.0,151,20.622532
-143.0,143,20.922355
-166.0,166,21.26955
-148.0,148,21.617805
-141.0,141,21.92817
-149.0,149,22.710323
-156.0,156,23.029272
-149.0,149,23.368468
-159.0,159,23.720335
-147.0,147,24.562216
-149.0,149,24.867144
-144.0,144,25.179154
-140.0,140,25.470174
-159.0,159,26.252697
-144.0,144,26.54238
-153.0,153,26.848144
-147.0,147,27.160214
-142.0,142,27.907555
-142.0,142,28.204649
-151.0,151,28.518297
-141.0,141,28.809332
-141.0,141,29.08846
-142.0,142,29.840476
-141.0,141,30.176463
-146.0,146,30.473668
-143.0,143,30.788943
-141.0,141,31.66511
-144.0,144,31.991099
-149.0,149,32.304493
-151.0,151,32.625405
-150.0,150,33.442341
-150.0,150,33.752942
-146.0,146,34.065377
-140.0,140,34.34846
-143.0,143,35.15137
-147.0,147,35.459508
-142.0,142,35.764323
-145.0,145,36.066858
-143.0,143,36.357224
-148.0,148,37.148416
-144.0,144,37.443608
-154.0,154,37.752378
-153.0,153,38.075656
-143.0,143,38.879633
-142.0,142,39.188532
-142.0,142,39.47576
-145.0,145,39.815341
-146.0,146,40.668361
-144.0,144,40.966837
-144.0,144,41.266377
-143.0,143,41.587334
-149.0,149,41.897984
-147.0,147,42.674034
-141.0,141,42.967668
-141.0,141,43.276941
-136.0,136,43.584269
-139.0,139,44.356851
-141.0,141,44.65594
-138.0,138,44.935131
-134.0,134,45.242723
-141.0,141,45.560918
-135.0,135,46.329593
-143.0,143,46.624035
-134.0,134,46.894532
-140.0,140,47.207957
-139.0,139,48.006331
-137.0,137,48.291343
-143.0,143,48.585588
-142.0,142,48.87816
-137.0,137,49.167303
-145.0,145,49.911479
-140.0,140,50.208957
-149.0,149,50.55262
-148.0,148,50.860134
-139.0,139,51.622191
-143.0,143,51.925724
-138.0,138,52.198112
-144.0,144,52.492895
-139.0,139,53.245591
-147.0,147,53.544637
-139.0,139,53.833166
-148.0,148,54.153402
-147.0,147,54.47819
-150.0,150,55.298397
-146.0,146,55.629348
-141.0,141,55.921493
-146.0,146,56.220049
-110.0,110,56.925109
-137.0,137,57.231789
-146.0,146,57.527998
-146.0,146,57.838561
-108.0,108,58.089872
-144.0,144,58.817247
-108.0,108,59.067808
-109.0,109,59.308472
-109.0,109,59.536171
-110.0,110,59.757791
-149.0,149,60.501231
-107.0,107,60.710211
-109.0,109,60.93656
-109.0,109,61.162612
-112.0,112,61.391096
-153.0,153,62.118386
-150.0,150,62.418079
-149.0,149,62.71819
-156.0,156,63.041564
-112.0,112,63.269387
-112.0,112,63.924496
-145.0,145,64.220506
-110.0,110,64.448967
-109.0,109,64.674212
-156.0,156,64.997784
-141.0,141,65.684899
-161.0,161,66.014453
-111.0,111,66.244422
-146.0,146,66.542614
-148.0,148,67.259243
-111.0,111,67.504931
-113.0,113,67.753006
-111.0,111,68.03668
-153.0,153,68.348118
-110.0,110,69.048292
-153.0,153,69.37133
-110.0,110,69.598149
-110.0,110,69.814001
-155.0,155,70.136509
-109.0,109,70.731947
-110.0,110,70.961741
-113.0,113,71.192757
