#{"t_start": 1601387504.693697, "env_id": null}
r,l,t
-200.0,200,1.190302
-200.0,200,1.642799
-200.0,200,2.053578
-125.0,125,2.797424
-185.0,185,3.164443
-164.0,164,3.512428
-171.0,171,3.84991
-132.0,132,4.745422
-159.0,159,5.069742
-131.0,131,5.34682
-177.0,177,5.708853
-172.0,172,6.53096
-164.0,164,6.874499
-160.0,160,7.200414
-159.0,159,7.525389
-143.0,143,8.216347
-153.0,153,8.52038
-86.0,86,8.704753
-156.0,156,9.076876
-159.0,159,10.044125
-155.0,155,10.362805
-88.0,88,10.535639
-88.0,88,10.720714
-96.0,96,10.914365
-87.0,87,11.088354
-183.0,183,11.928039
-163.0,163,12.255173
-87.0,87,12.427848
-146.0,146,12.737828
-165.0,165,13.524714
-162.0,162,13.85199
-88.0,88,14.026062
-159.0,159,14.353584
-162.0,162,15.154288
-89.0,89,15.328149
-163.0,163,15.673573
-147.0,147,15.99057
-147.0,147,16.300221
-157.0,157,17.081474
-142.0,142,17.405002
-145.0,145,17.733915
-153.0,153,18.135472
-149.0,149,18.993897
-143.0,143,19.294363
-142.0,142,19.588521
-143.0,143,19.884658
-143.0,143,20.629796
-111.0,111,20.859619
-155.0,155,21.195657
-145.0,145,21.506583
-151.0,151,21.847658
-151.0,151,22.649092
-140.0,140,22.934869
-145.0,145,23.236421
-141.0,141,23.559079
-142.0,142,24.357436
-148.0,148,24.710566
-143.0,143,25.021193
-143.0,143,25.318709
-141.0,141,25.610198
-146.0,146,26.360075
-144.0,144,26.652727
-141.0,141,26.943734
-143.0,143,27.237453
-143.0,143,28.005672
-148.0,148,28.303303
-142.0,142,28.593839
-140.0,140,28.883615
-144.0,144,29.63356
-143.0,143,29.966187
-146.0,146,30.275526
-150.0,150,30.589624
-139.0,139,30.887561
-142.0,142,31.770867
-144.0,144,32.103197
-148.0,148,32.401949
-138.0,138,32.695177
-139.0,139,33.493943
-141.0,141,33.784352
-142.0,142,34.080554
-140.0,140,34.375198
-138.0,138,35.158443
-141.0,141,35.459282
-142.0,142,35.764301
-154.0,154,36.09082
-147.0,147,36.385702
-149.0,149,37.165708
-154.0,154,37.485979
-147.0,147,37.78602
-143.0,143,38.084377
-144.0,144,38.889559
-146.0,146,39.204967
-148.0,148,39.510966
-152.0,152,39.861934
-142.0,142,40.707983
-143.0,143,41.004384
-148.0,148,41.309682
-140.0,140,41.630894
-138.0,138,41.910401
-138.0,138,42.675317
-143.0,143,42.970517
-145.0,145,43.285673
-137.0,137,43.594349
-142.0,142,44.370492
-141.0,141,44.669526
-140.0,140,44.964544
-143.0,143,45.284739
-141.0,141,46.098864
-144.0,144,46.393106
-142.0,142,46.673776
-140.0,140,46.967795
-144.0,144,47.29012
-141.0,141,48.092056
-140.0,140,48.386251
-140.0,140,48.663148
-138.0,138,48.953127
-141.0,141,49.691803
-141.0,141,49.985749
-138.0,138,50.278695
-145.0,145,50.610284
-142.0,142,50.904649
-142.0,142,51.676674
-146.0,146,51.978506
-135.0,135,52.260754
-138.0,138,52.534026
-143.0,143,53.291715
-141.0,141,53.584406
-152.0,152,53.900536
-139.0,139,54.198621
-145.0,145,54.520316
-147.0,147,55.34106
-139.0,139,55.646982
-141.0,141,55.9375
-139.0,139,56.227433
-133.0,133,56.979535
-133.0,133,57.276028
-143.0,143,57.568175
-139.0,139,57.873606
-137.0,137,58.615676
-107.0,107,58.826037
-134.0,134,59.149352
-109.0,109,59.36268
-108.0,108,59.588801
-148.0,148,59.900489
-112.0,112,60.554079
-143.0,143,60.84714
-141.0,141,61.139563
-144.0,144,61.43366
-152.0,152,62.1586
-109.0,109,62.369588
-113.0,113,62.61233
-153.0,153,62.918027
-111.0,111,63.1468
-112.0,112,63.801178
-107.0,107,64.024258
-112.0,112,64.253606
-111.0,111,64.483175
-144.0,144,64.777998
-110.0,110,65.005168
-112.0,112,65.643991
-147.0,147,65.943147
-111.0,111,66.173077
-113.0,113,66.403876
-146.0,146,66.702094
-112.0,112,67.333772
-110.0,110,67.582643
-110.0,110,67.851259
-111.0,111,68.108776
-154.0,154,68.420739
-149.0,149,69.1935
-113.0,113,69.442731
-111.0,111,69.656756
-114.0,114,69.903793
-156.0,156,70.215447
-88.0,88,70.770813
-111.0,111,71.001789
-111.0,111,71.23053
-112.0,112,71.462734
-116.0,116,71.695037
-112.0,112,71.937083
-111.0,111,72.54349
-110.0,110,72.769145
-155.0,155,73.088843
-112.0,112,73.331193
-111.0,111,73.567246
-116.0,116,74.196067
-111.0,111,74.438685
-83.0,83,74.625109
-111.0,111,74.859517
-115.0,115,75.095619
-113.0,113,75.324638
-112.0,112,76.014152
-86.0,86,76.191501
-110.0,110,76.42576
-162.0,162,76.766785
-111.0,111,77.009342
-112.0,112,77.683213
-113.0,113,77.959807
-86.0,86,78.158704
-117.0,117,78.415701
-114.0,114,78.654841
-85.0,85,78.830744
-115.0,115,79.494629
-87.0,87,79.676176
-115.0,115,79.92039
-111.0,111,80.177862
-116.0,116,80.426987
-116.0,116,80.692438
-83.0,83,81.348153
-85.0,85,81.546884
-84.0,84,81.740992
-115.0,115,82.024471
-111.0,111,82.284312
-91.0,91,82.485358
-113.0,113,83.175959
-113.0,113,83.434023
-87.0,87,83.638762
-116.0,116,83.899897
-115.0,115,84.162268
-89.0,89,84.369476
-112.0,112,85.088734
-115.0,115,85.374407
-116.0,116,85.7164
-111.0,111,85.993143
-115.0,115,86.250196
-165.0,165,87.053468
-85.0,85,87.241323
-111.0,111,87.504786
-112.0,112,87.759008
-114.0,114,88.014923
-86.0,86,88.204066
-115.0,115,88.955961
-88.0,88,89.155285
-111.0,111,89.418333
-111.0,111,89.684371
-86.0,86,89.88345
-154.0,154,90.25392
-171.0,171,91.152262
-114.0,114,91.416627
-147.0,147,91.757585
-111.0,111,92.012745
-113.0,113,92.754824
-152.0,152,93.112615
-85.0,85,93.30339
-110.0,110,93.552455
-112.0,112,93.802967
-111.0,111,94.050054
-154.0,154,94.868243
-156.0,156,95.222398
-111.0,111,95.474493
