#{"t_start": 1601387504.691444, "env_id": null}
r,l,t
-200.0,200,1.192368
-200.0,200,1.644847
-200.0,200,2.055637
-200.0,200,2.944122
-170.0,170,3.292503
-161.0,161,3.623859
-200.0,200,4.651457
-177.0,177,5.023377
-156.0,156,5.332255
-173.0,173,5.688597
-142.0,142,6.462067
-155.0,155,6.781871
-163.0,163,7.111787
-159.0,159,7.434953
-158.0,158,8.158689
-152.0,152,8.461359
-152.0,152,8.78943
-153.0,153,9.168263
-92.0,92,9.979589
-87.0,87,10.163905
-150.0,150,10.464816
-86.0,86,10.634066
-88.0,88,10.819006
-161.0,161,11.147237
-150.0,150,11.905652
-160.0,160,12.231309
-166.0,166,12.578198
-150.0,150,12.879277
-155.0,155,13.654133
-161.0,161,13.98168
-146.0,146,14.28283
-145.0,145,14.574094
-146.0,146,15.330256
-155.0,155,15.663312
-154.0,154,15.991398
-146.0,146,16.299732
-157.0,157,17.081142
-168.0,168,17.479565
-160.0,160,17.876719
-146.0,146,18.202786
-143.0,143,19.055263
-141.0,141,19.353249
-143.0,143,19.648451
-143.0,143,19.947592
-142.0,142,20.675487
-145.0,145,20.992656
-125.0,125,21.247778
-148.0,148,21.591025
-145.0,145,21.921281
-149.0,149,22.692845
-145.0,145,22.999072
-149.0,149,23.308356
-144.0,144,23.638112
-141.0,141,24.466373
-145.0,145,24.777379
-145.0,145,25.091429
-143.0,143,25.387412
-140.0,140,26.133016
-147.0,147,26.429781
-145.0,145,26.722435
-144.0,144,27.017853
-143.0,143,27.310307
-141.0,141,28.077509
-142.0,142,28.367027
-148.0,148,28.664697
-140.0,140,28.956911
-138.0,138,29.692707
-140.0,140,30.017142
-143.0,143,30.31893
-150.0,150,30.646237
-146.0,146,31.525308
-141.0,141,31.827616
-151.0,151,32.176585
-142.0,142,32.466619
-144.0,144,32.766143
-141.0,141,33.58271
-142.0,142,33.86128
-148.0,148,34.179734
-145.0,145,34.47773
-141.0,141,35.287538
-143.0,143,35.581242
-143.0,143,35.880893
-149.0,149,36.193114
-143.0,143,36.965281
-149.0,149,37.265517
-149.0,149,37.565012
-146.0,146,37.865174
-149.0,149,38.193812
-144.0,144,38.990044
-144.0,144,39.305885
-150.0,150,39.610298
-142.0,142,39.944518
-147.0,147,40.787734
-150.0,150,41.106638
-141.0,141,41.400097
-142.0,142,41.719058
-139.0,139,42.48449
-138.0,138,42.770879
-139.0,139,43.058449
-144.0,144,43.380893
-138.0,138,43.694065
-138.0,138,44.456758
-139.0,139,44.743145
-135.0,135,45.036702
-137.0,137,45.334728
-136.0,136,46.137206
-143.0,143,46.430015
-140.0,140,46.709952
-141.0,141,47.003688
-138.0,138,47.319364
-141.0,141,48.121394
-146.0,146,48.422545
-147.0,147,48.722013
-136.0,136,48.996193
-141.0,141,49.734687
-137.0,137,50.026915
-146.0,146,50.340055
-145.0,145,50.672868
-139.0,139,50.9641
-137.0,137,51.716082
-146.0,146,52.015269
-148.0,148,52.327689
-138.0,138,52.600217
-142.0,142,53.356874
-143.0,143,53.653072
-148.0,148,53.952944
-138.0,138,54.259852
-135.0,135,55.052798
-140.0,140,55.357954
-139.0,139,55.675488
-141.0,141,55.965418
-135.0,135,56.236976
-139.0,139,57.017996
-143.0,143,57.331714
-139.0,139,57.60777
-140.0,140,57.917297
-140.0,140,58.658193
-136.0,136,58.931809
-140.0,140,59.259909
-110.0,110,59.489911
-111.0,111,59.726156
-107.0,107,60.37885
-148.0,148,60.677202
-143.0,143,60.972076
-110.0,110,61.199034
-113.0,113,61.428214
-111.0,111,62.063926
-113.0,113,62.292921
-141.0,141,62.583021
-111.0,111,62.810651
-151.0,151,63.114685
-109.0,109,63.765043
-111.0,111,63.993439
-114.0,114,64.225006
-154.0,154,64.534207
-163.0,163,64.878096
-113.0,113,65.519857
-152.0,152,65.822931
-140.0,140,66.113816
-152.0,152,66.420919
-149.0,149,66.735994
-111.0,111,67.370722
-111.0,111,67.61622
-111.0,111,67.901995
-113.0,113,68.147244
-111.0,111,68.37802
-110.0,110,69.065388
-111.0,111,69.294224
-160.0,160,69.624975
-114.0,114,69.872317
-160.0,160,70.201653
-114.0,114,70.802461
-111.0,111,71.033421
-113.0,113,71.263688
-113.0,113,71.49626
-111.0,111,71.723685
-153.0,153,72.417406
-87.0,87,72.606229
-88.0,88,72.778771
-115.0,115,73.01451
-87.0,87,73.216013
-84.0,84,73.392687
-114.0,114,74.009036
-115.0,115,74.244161
-111.0,111,74.49744
-116.0,116,74.758252
-112.0,112,74.99316
-110.0,110,75.204027
-112.0,112,75.883039
