#{"t_start": 1601387504.708784, "env_id": null}
r,l,t
-200.0,200,1.176117
-200.0,200,1.628694
-200.0,200,2.039437
-195.0,195,2.920864
-184.0,184,3.300694
-175.0,175,3.660365
-200.0,200,4.676494
-176.0,176,5.047662
-125.0,125,5.304155
-181.0,181,5.670537
-138.0,138,6.439008
-171.0,171,6.791664
-159.0,159,7.103834
-168.0,168,7.451474
-96.0,96,8.046732
-153.0,153,8.363098
-92.0,92,8.541777
-154.0,154,8.898143
-91.0,91,9.128669
-149.0,149,10.055706
-152.0,152,10.358256
-89.0,89,10.544843
-153.0,153,10.859717
-115.0,115,11.093888
-156.0,156,11.859237
-87.0,87,12.045847
-87.0,87,12.215815
-152.0,152,12.532598
-86.0,86,12.703909
-154.0,154,13.477616
-143.0,143,13.768631
-165.0,165,14.103321
-161.0,161,14.43141
-153.0,153,15.208524
-85.0,85,15.377587
-144.0,144,15.691235
-150.0,150,16.007426
-146.0,146,16.316985
-150.0,150,17.088929
-147.0,147,17.429026
-145.0,145,17.759093
-157.0,157,18.153457
-151.0,151,19.015286
-145.0,145,19.318677
-142.0,142,19.612893
-144.0,144,19.911192
-140.0,140,20.651384
-163.0,163,20.990726
-142.0,142,21.293014
-149.0,149,21.629812
-151.0,151,22.446967
-141.0,141,22.739294
-147.0,147,23.045419
-149.0,149,23.376867
-147.0,147,23.695222
-143.0,143,24.532289
-149.0,149,24.848696
-143.0,143,25.16078
-141.0,141,25.440463
-141.0,141,26.187
-145.0,145,26.479538
-143.0,143,26.771868
-145.0,145,27.068025
-143.0,143,27.826226
-142.0,142,28.127574
-143.0,143,28.419159
-141.0,141,28.707922
-144.0,144,29.005273
-147.0,147,29.763974
-142.0,142,30.096704
-145.0,145,30.396039
-142.0,142,30.70572
-148.0,148,31.587812
-143.0,143,31.913466
-139.0,139,32.221175
-143.0,143,32.512356
-145.0,145,33.3161
-140.0,140,33.616302
-144.0,144,33.910078
-142.0,142,34.207595
-140.0,140,34.499289
-146.0,146,35.316671
-144.0,144,35.610337
-145.0,145,35.92625
-147.0,147,36.222704
-144.0,144,36.995317
-144.0,144,37.289759
-151.0,151,37.605047
-146.0,146,37.905475
-154.0,154,38.740032
-145.0,145,39.043276
-143.0,143,39.351857
-147.0,147,39.66281
-145.0,145,39.999344
-148.0,148,40.836591
-142.0,142,41.134325
-143.0,143,41.449696
-142.0,142,41.758836
-147.0,147,42.534859
-138.0,138,42.820653
-144.0,144,43.137752
-137.0,137,43.43651
-141.0,141,44.220736
-139.0,139,44.508475
-139.0,139,44.795366
-138.0,138,45.097936
-140.0,140,45.416944
-139.0,139,46.199415
-141.0,141,46.490946
-138.0,138,46.780854
-136.0,136,47.064279
-139.0,139,47.380951
-140.0,140,48.173439
-140.0,140,48.468006
-140.0,140,48.744784
-143.0,143,49.041138
