#{"t_start": 1601387504.710025, "env_id": null}
r,l,t
-200.0,200,1.174949
-200.0,200,1.627538
-200.0,200,2.038273
-173.0,173,2.879158
-200.0,200,3.278368
-200.0,200,3.695444
-200.0,200,4.711728
-171.0,171,5.078607
-157.0,157,5.400308
-173.0,173,5.755712
-165.0,165,6.568616
-157.0,157,6.891097
-177.0,177,7.251744
-154.0,154,7.956224
-161.0,161,8.2825
-157.0,157,8.604598
-152.0,152,8.962899
-93.0,93,9.211861
-147.0,147,10.117108
-154.0,154,10.423046
-166.0,166,10.766483
-153.0,153,11.072598
-91.0,91,11.718554
-161.0,161,12.048387
-153.0,153,12.363806
-140.0,140,12.640354
-155.0,155,13.416455
-86.0,86,13.586004
-154.0,154,13.903652
-160.0,160,14.235948
-142.0,142,14.523868
-154.0,154,15.302681
-146.0,146,15.602696
-148.0,148,15.930905
-150.0,150,16.232746
-144.0,144,16.99617
-174.0,174,17.385612
-142.0,142,17.707283
-140.0,140,18.084492
-150.0,150,18.94357
-143.0,143,19.24493
-142.0,142,19.538881
-150.0,150,19.839701
-142.0,142,20.587394
-114.0,114,20.818269
-165.0,165,21.182417
-148.0,148,21.496801
-148.0,148,21.835016
-146.0,146,22.616701
-139.0,139,22.9142
-151.0,151,23.224921
-144.0,144,23.549451
-138.0,138,24.343365
-145.0,145,24.692282
-142.0,142,24.999692
-143.0,143,25.299267
-144.0,144,25.594458
-145.0,145,26.34297
-142.0,142,26.63302
-145.0,145,26.929263
-148.0,148,27.228907
-146.0,146,28.001093
-143.0,143,28.292394
-148.0,148,28.602734
-145.0,145,28.89935
-144.0,144,29.654732
-140.0,140,29.967709
-141.0,141,30.268423
-143.0,143,30.573893
-146.0,146,30.880486
-142.0,142,31.767064
-141.0,141,32.092892
-140.0,140,32.381343
-142.0,142,32.679416
-143.0,143,33.484109
-140.0,140,33.772596
-141.0,141,34.068504
-142.0,142,34.364531
-150.0,150,35.184163
-143.0,143,35.479121
-143.0,143,35.785063
-144.0,144,36.085779
-149.0,149,36.383468
-143.0,143,37.156346
-144.0,144,37.451212
-144.0,144,37.748015
-148.0,148,38.064556
-154.0,154,38.882424
-151.0,151,39.218241
-144.0,144,39.517995
-144.0,144,39.846196
-143.0,143,40.693672
-143.0,143,40.989868
-143.0,143,41.28863
-148.0,148,41.622492
-142.0,142,41.918605
-139.0,139,42.670814
-142.0,142,42.968878
-142.0,142,43.276149
-145.0,145,43.607706
-144.0,144,44.385835
-140.0,140,44.683889
-141.0,141,44.980621
-134.0,134,45.276479
-141.0,141,46.090514
-136.0,136,46.362077
-138.0,138,46.650437
-136.0,136,46.939146
-143.0,143,47.248277
-142.0,142,48.050975
-139.0,139,48.344025
-142.0,142,48.635998
-139.0,139,48.927548
-137.0,137,49.648036
-146.0,146,49.948357
-147.0,147,50.265476
-141.0,141,50.591925
-148.0,148,50.908584
-141.0,141,51.665353
-142.0,142,51.961399
-136.0,136,52.245011
-140.0,140,52.520747
-140.0,140,53.274655
-145.0,145,53.57247
-139.0,139,53.859451
-147.0,147,54.180316
-144.0,144,54.500716
-138.0,138,55.293408
-146.0,146,55.624025
-136.0,136,55.895278
-139.0,139,56.186655
-139.0,139,56.958
-133.0,133,57.255247
-136.0,136,57.538614
-139.0,139,57.827309
-140.0,140,58.143927
-138.0,138,58.865626
-108.0,108,59.117699
-147.0,147,59.429766
-142.0,142,59.718497
-142.0,142,60.439848
-111.0,111,60.666677
-109.0,109,60.892325
-108.0,108,61.117726
-109.0,109,61.342607
-112.0,112,61.57032
-108.0,108,62.189615
-150.0,150,62.503066
-147.0,147,62.801304
-110.0,110,63.029464
-110.0,110,63.255037
-112.0,112,63.909955
-108.0,108,64.121391
-145.0,145,64.432
-110.0,110,64.645215
-147.0,147,64.957932
-110.0,110,65.581274
-113.0,113,65.824144
-147.0,147,66.123844
-111.0,111,66.353896
-112.0,112,66.583263
-110.0,110,67.214954
-111.0,111,67.440053
-111.0,111,67.679928
-110.0,110,67.973973
-114.0,114,68.211141
-158.0,158,69.010525
-111.0,111,69.239133
-112.0,112,69.472882
-110.0,110,69.699072
-157.0,157,70.026031
-111.0,111,70.254728
-113.0,113,70.856875
-111.0,111,71.085547
-164.0,164,71.420998
-112.0,112,71.649383
-159.0,159,72.36165
-114.0,114,72.597988
-90.0,90,72.786237
-88.0,88,72.961918
-88.0,88,73.164753
-84.0,84,73.34064
-114.0,114,73.579487
-116.0,116,74.195078
-114.0,114,74.459526
-113.0,113,74.708028
-114.0,114,74.946707
-111.0,111,75.171626
-113.0,113,75.849778
-110.0,110,76.093084
-111.0,111,76.328842
-161.0,161,76.668545
-113.0,113,76.910759
-114.0,114,77.588405
-157.0,157,77.964051
-116.0,116,78.216384
-85.0,85,78.402382
-86.0,86,78.593665
-87.0,87,78.768158
-111.0,111,79.412156
-113.0,113,79.65753
-115.0,115,79.901757
-111.0,111,80.159486
-111.0,111,80.402439
-163.0,163,81.229023
-112.0,112,81.493651
-116.0,116,81.761603
-112.0,112,82.029331
-163.0,163,82.41617
-115.0,115,83.112613
-111.0,111,83.363498
-115.0,115,83.626009
-84.0,84,83.815185
-112.0,112,84.071958
-115.0,115,84.330589
-85.0,85,84.994287
-115.0,115,85.274738
-116.0,116,85.587286
-116.0,116,85.905084
-111.0,111,86.159707
-113.0,113,86.421572
-153.0,153,87.188218
-85.0,85,87.386218
-113.0,113,87.644398
-84.0,84,87.842554
-94.0,94,88.042869
-111.0,111,88.294296
-84.0,84,88.977824
-113.0,113,89.240272
-113.0,113,89.506606
-163.0,163,89.894137
-155.0,155,90.265437
-155.0,155,91.113482
-116.0,116,91.394553
-113.0,113,91.659208
