#{"t_start": 1601387504.703616, "env_id": null}
r,l,t
-200.0,200,1.180988
-200.0,200,1.63354
-200.0,200,2.044289
-172.0,172,2.884013
-186.0,186,3.253083
-168.0,168,3.605935
-200.0,200,4.620414
-200.0,200,5.047533
-164.0,164,5.379035
-162.0,162,5.709754
-168.0,168,6.538741
-158.0,158,6.862453
-161.0,161,7.189554
-156.0,156,7.497913
-150.0,150,8.210576
-88.0,88,8.382983
-155.0,155,8.704307
-158.0,158,9.097615
-153.0,153,10.038353
-179.0,179,10.413089
-154.0,154,10.717103
-87.0,87,10.899446
-88.0,88,11.075009
-169.0,169,11.882133
-152.0,152,12.186321
-89.0,89,12.372583
-152.0,152,12.677341
-152.0,152,13.449311
-151.0,151,13.749698
-155.0,155,14.071744
-88.0,88,14.248728
-84.0,84,14.42698
-85.0,85,14.594599
-145.0,145,15.350228
-148.0,148,15.664122
-147.0,147,15.981025
-161.0,161,16.321825
-150.0,150,17.093864
-144.0,144,17.427762
-149.0,149,17.765925
-142.0,142,18.128424
-142.0,142,18.978328
-155.0,155,19.307416
-141.0,141,19.586616
-142.0,142,19.88223
-140.0,140,20.622762
-142.0,142,20.921541
-145.0,145,21.229669
-143.0,143,21.54328
-142.0,142,21.867529
-149.0,149,22.652013
-144.0,144,22.955261
-113.0,113,23.188068
-151.0,151,23.539708
-137.0,137,24.307611
-139.0,139,24.661743
-142.0,142,24.962683
-147.0,147,25.273486
-143.0,143,25.566436
-146.0,146,26.317548
-145.0,145,26.610319
-146.0,146,26.906959
-156.0,156,27.230266
-142.0,142,27.997371
-142.0,142,28.287641
-143.0,143,28.579269
-144.0,144,28.874077
-139.0,139,29.602812
-140.0,140,29.931542
-148.0,148,30.245998
-146.0,146,30.554985
-145.0,145,30.872998
-142.0,142,31.743685
-145.0,145,32.078173
-142.0,142,32.368175
-138.0,138,32.660751
-140.0,140,33.47095
-143.0,143,33.767291
-141.0,141,34.047279
-150.0,150,34.369444
-145.0,145,35.182297
-143.0,143,35.477519
-140.0,140,35.780434
-146.0,146,36.083604
-143.0,143,36.373724
-152.0,152,37.157478
-151.0,151,37.473793
-145.0,145,37.771344
-145.0,145,38.072126
-149.0,149,38.883766
