#{"t_start": 1601387504.70473, "env_id": null}
r,l,t
-200.0,200,1.179948
-200.0,200,1.632506
-200.0,200,2.043253
-156.0,156,2.849772
-199.0,199,3.248111
-200.0,200,3.665569
-200.0,200,4.6817
-177.0,177,5.054032
-176.0,176,5.413957
-163.0,163,5.744559
-133.0,133,6.505555
-162.0,162,6.83357
-164.0,164,7.164584
-159.0,159,7.488752
-149.0,149,8.187804
-157.0,157,8.509768
-168.0,168,8.896218
-152.0,152,9.273794
-147.0,147,10.165548
-154.0,154,10.484258
-154.0,154,10.801019
-88.0,88,10.97544
-93.0,93,11.62222
-88.0,88,11.797291
-179.0,179,12.173021
-149.0,149,12.472626
-153.0,153,12.777659
-147.0,147,13.543002
-145.0,145,13.836297
-151.0,151,14.143427
-170.0,170,14.492638
-84.0,84,15.120505
-158.0,158,15.44453
-159.0,159,15.802286
-147.0,147,16.102525
-165.0,165,16.900594
-147.0,147,17.229108
-145.0,145,17.560702
-145.0,145,17.945061
-143.0,143,18.246982
-143.0,143,19.101712
-147.0,147,19.406744
-146.0,146,19.704349
-139.0,139,20.000146
-143.0,143,20.727519
-155.0,155,21.064601
-152.0,152,21.384175
-137.0,137,21.704734
-142.0,142,22.487416
-149.0,149,22.789393
-144.0,144,23.093503
-143.0,143,23.420536
-143.0,143,23.729336
-145.0,145,24.568794
-143.0,143,24.866476
-148.0,148,25.199031
-138.0,138,25.472164
-149.0,149,26.22954
-148.0,148,26.536409
-151.0,151,26.839389
-143.0,143,27.133572
-147.0,147,27.899846
-143.0,143,28.198893
-147.0,147,28.494773
-146.0,146,28.804725
-141.0,141,29.083862
-139.0,139,29.832315
-140.0,140,30.166746
-142.0,142,30.459458
-146.0,146,30.778375
-144.0,144,31.658212
-144.0,144,31.984161
-143.0,143,32.290236
-141.0,141,32.583833
-145.0,145,33.39233
-145.0,145,33.700894
-143.0,143,33.99661
-140.0,140,34.278476
-142.0,142,34.570942
-147.0,147,35.388609
-146.0,146,35.712791
-146.0,146,36.016369
-144.0,144,36.308089
-147.0,147,37.085051
-146.0,146,37.381409
-146.0,146,37.679686
-150.0,150,37.983643
-145.0,145,38.806873
-148.0,148,39.116872
-146.0,146,39.428784
-145.0,145,39.740435
-143.0,143,40.600064
-147.0,147,40.905192
-144.0,144,41.205691
-145.0,145,41.528624
-142.0,142,41.832069
-146.0,146,42.606462
