#{"t_start": 1601387504.705919, "env_id": null}
r,l,t
-200.0,200,1.178833
-200.0,200,1.631402
-200.0,200,2.042141
-167.0,167,2.862625
-200.0,200,3.274806
-177.0,177,3.638139
-179.0,179,4.61442
-188.0,188,5.013381
-136.0,136,5.283976
-188.0,188,5.672021
-170.0,170,6.505661
-162.0,162,6.833709
-160.0,160,7.15974
-93.0,93,7.351288
-173.0,173,8.105846
-154.0,154,8.411367
-150.0,150,8.726008
-158.0,158,9.111844
-155.0,155,10.062253
-155.0,155,10.381469
-152.0,152,10.683767
-153.0,153,11.002016
-97.0,97,11.654298
-87.0,87,11.827121
-85.0,85,12.011522
-89.0,89,12.184154
-155.0,155,12.504075
-150.0,150,12.806004
-146.0,146,13.556603
-152.0,152,13.871276
-85.0,85,14.042326
-148.0,148,14.343094
-87.0,87,14.526589
-150.0,150,15.287588
-146.0,146,15.586686
-169.0,169,15.968311
-164.0,164,16.299397
-140.0,140,17.059813
-151.0,151,17.395443
-162.0,162,17.792717
-141.0,141,18.131063
-144.0,144,18.983609
-143.0,143,19.283822
-149.0,149,19.600551
-143.0,143,19.89722
-144.0,144,20.642956
-154.0,154,20.957869
-153.0,153,21.287143
-161.0,161,21.651563
-146.0,146,22.449672
-137.0,137,22.724242
-146.0,146,23.041793
-142.0,142,23.343288
-145.0,145,23.679424
-144.0,144,24.516792
-142.0,142,24.799182
-151.0,151,25.1334
-144.0,144,25.431878
-148.0,148,26.187316
-143.0,143,26.477366
-154.0,154,26.796442
-151.0,151,27.099655
-141.0,141,27.856258
-148.0,148,28.163956
-144.0,144,28.456686
-140.0,140,28.744747
-141.0,141,29.038441
-139.0,139,29.773984
-139.0,139,30.103249
-149.0,149,30.407517
-143.0,143,30.718754
-142.0,142,31.595379
-140.0,140,31.914982
-143.0,143,32.227592
-149.0,149,32.526053
-139.0,139,33.322564
-150.0,150,33.647673
-147.0,147,33.946332
-143.0,143,34.245241
-143.0,143,34.539575
-147.0,147,35.370036
-144.0,144,35.676334
-144.0,144,35.98073
-144.0,144,36.271868
-146.0,146,37.047987
-145.0,145,37.342918
-146.0,146,37.639759
-144.0,144,37.937137
-144.0,144,38.746626
-150.0,150,39.057212
-145.0,145,39.366906
-145.0,145,39.676712
-144.0,144,40.015629
-146.0,146,40.845918
-141.0,141,41.14241
-142.0,142,41.457469
-145.0,145,41.769215
-144.0,144,42.541678
-140.0,140,42.82953
-144.0,144,43.14782
-141.0,141,43.463096
-140.0,140,44.247704
-140.0,140,44.522219
-142.0,142,44.827682
-144.0,144,45.144093
-133.0,133,45.433318
-135.0,135,46.224095
-140.0,140,46.513576
-147.0,147,46.816248
-138.0,138,47.101344
-139.0,139,47.908011
-143.0,143,48.217377
-142.0,142,48.510675
-140.0,140,48.80088
-139.0,139,49.079252
-137.0,137,49.813166
-140.0,140,50.116421
-152.0,152,50.451413
-145.0,145,50.762436
-144.0,144,51.521557
-141.0,141,51.830049
-141.0,141,52.121974
-136.0,136,52.393241
-142.0,142,52.683705
-138.0,138,53.437171
-145.0,145,53.732994
-151.0,151,54.043368
-146.0,146,54.375381
-145.0,145,55.189523
-137.0,137,55.489616
-133.0,133,55.770676
-134.0,134,56.052539
-144.0,144,56.811338
-135.0,135,57.11975
-142.0,142,57.423239
-138.0,138,57.711865
-143.0,143,58.030559
-108.0,108,58.686979
-141.0,141,58.988673
-108.0,108,59.243423
-144.0,144,59.541729
-108.0,108,59.773739
-110.0,110,60.430782
-108.0,108,60.639908
-108.0,108,60.864543
-110.0,110,61.09271
-110.0,110,61.318785
-152.0,152,61.621603
-109.0,109,62.255121
-108.0,108,62.478091
-110.0,110,62.704911
-111.0,111,62.932947
-107.0,107,63.143711
-113.0,113,63.812829
-112.0,112,64.041444
