#{"t_start": 1601387504.6925828, "env_id": null}
r,l,t
-200.0,200,1.191333
-200.0,200,1.643823
-200.0,200,2.054605
-166.0,166,2.874164
-173.0,173,3.227094
-200.0,200,3.645005
-152.0,152,4.56189
-172.0,172,4.925113
-200.0,200,5.32986
-159.0,159,5.65453
-127.0,127,6.398137
-162.0,162,6.726592
-200.0,200,7.140232
-95.0,95,7.334657
-102.0,102,7.935624
-157.0,157,8.258437
-159.0,159,8.583152
-87.0,87,8.761713
-148.0,148,9.145941
-88.0,88,9.945638
-148.0,148,10.243713
-98.0,98,10.455018
-90.0,90,10.629231
-154.0,154,10.947455
-92.0,92,11.138726
-88.0,88,11.769191
-150.0,150,12.07154
-91.0,91,12.258804
-154.0,154,12.578384
-149.0,149,12.878249
-86.0,86,13.503897
-166.0,166,13.84932
-144.0,144,14.146939
-93.0,93,14.338874
-148.0,148,14.635197
-148.0,148,15.394519
-152.0,152,15.734902
-144.0,144,16.039201
-146.0,146,16.336648
-167.0,167,17.142303
-162.0,162,17.520259
-144.0,144,17.887775
-144.0,144,18.207763
-145.0,145,19.062982
-153.0,153,19.389154
-162.0,162,19.719742
-140.0,140,20.016898
-140.0,140,20.753715
-145.0,145,21.065329
-147.0,147,21.365913
-136.0,136,21.67768
-142.0,142,22.467505
-142.0,142,22.761082
-146.0,146,23.066125
-144.0,144,23.389522
-147.0,147,23.709595
-141.0,141,24.543793
-156.0,156,24.870008
-139.0,139,25.176387
-150.0,150,25.480131
-145.0,145,26.232199
-144.0,144,26.522115
-148.0,148,26.821561
-144.0,144,27.116268
-142.0,142,27.874334
-145.0,145,28.178103
-144.0,144,28.470836
-139.0,139,28.757591
-141.0,141,29.051279
-144.0,144,29.805561
-143.0,143,30.141074
-142.0,142,30.436637
-140.0,140,30.73034
-140.0,140,31.601615
-145.0,145,31.930422
-141.0,141,32.240432
-146.0,146,32.535242
-148.0,148,33.343538
-145.0,145,33.661813
-142.0,142,33.954087
-145.0,145,34.255208
-144.0,144,34.551056
-145.0,145,35.366427
-144.0,144,35.672142
-146.0,146,35.979235
-148.0,148,36.28852
-153.0,153,37.073186
-146.0,146,37.369591
-144.0,144,37.664204
-144.0,144,37.961416
-146.0,146,38.785613
-144.0,144,39.089705
-144.0,144,39.400113
-144.0,144,39.706245
-147.0,147,40.051093
-153.0,153,40.887631
-142.0,142,41.18572
-151.0,151,41.528839
-140.0,140,41.817596
-142.0,142,42.586804
-139.0,139,42.874402
-139.0,139,43.186778
-138.0,138,43.484865
-143.0,143,44.2727
-134.0,134,44.555728
-137.0,137,44.839273
-139.0,139,45.14662
-143.0,143,45.463687
-141.0,141,46.262224
-144.0,144,46.559277
-142.0,142,46.840206
-145.0,145,47.147478
-148.0,148,47.978605
-145.0,145,48.289978
-144.0,144,48.585262
-147.0,147,48.8842
-146.0,146,49.184427
-140.0,140,49.922606
-148.0,148,50.242262
-141.0,141,50.564142
-147.0,147,50.869893
-146.0,146,51.643874
-139.0,139,51.939298
-148.0,148,52.237188
-144.0,144,52.531421
-142.0,142,53.287975
-142.0,142,53.581667
-150.0,150,53.882473
-145.0,145,54.200983
-147.0,147,55.034816
-137.0,137,55.317611
-141.0,141,55.640732
-149.0,149,55.942646
-144.0,144,56.238503
-140.0,140,57.021828
-144.0,144,57.335448
-137.0,137,57.621573
-141.0,141,57.920776
-133.0,133,58.651939
-141.0,141,58.932036
-139.0,139,59.258873
-141.0,141,59.553323
-108.0,108,59.785363
-109.0,109,60.441126
-108.0,108,60.650211
-112.0,112,60.879968
-110.0,110,61.10804
-145.0,145,61.403253
-112.0,112,61.630757
-111.0,111,62.266734
-110.0,110,62.492253
-151.0,151,62.795758
-112.0,112,63.025729
-149.0,149,63.764016
-145.0,145,64.060369
-156.0,156,64.384111
-109.0,109,64.597315
-110.0,110,64.823837
-150.0,150,65.549507
-147.0,147,65.847057
-110.0,110,66.074728
-113.0,113,66.307966
-113.0,113,66.538726
-159.0,159,67.269043
-113.0,113,67.517671
-109.0,109,67.760005
-151.0,151,68.121254
-112.0,112,68.353931
-157.0,157,69.150435
-112.0,112,69.384778
-113.0,113,69.615221
-110.0,110,69.844681
-151.0,151,70.148932
-112.0,112,70.74772
-114.0,114,70.982665
-114.0,114,71.227763
-113.0,113,71.461177
-113.0,113,71.689827
-116.0,116,71.93659
-87.0,87,72.485773
-85.0,85,72.671221
-85.0,85,72.8404
-154.0,154,73.177734
-114.0,114,73.420717
-151.0,151,74.107947
-115.0,115,74.348191
-116.0,116,74.622447
-113.0,113,74.859307
-110.0,110,75.089055
-112.0,112,75.31709
-162.0,162,76.11127
-153.0,153,76.426765
-110.0,110,76.66201
-169.0,169,77.032062
-152.0,152,77.798801
-167.0,167,78.193915
-84.0,84,78.378052
-111.0,111,78.615604
-87.0,87,78.790137
-115.0,115,79.442441
-118.0,118,79.706082
-116.0,116,79.95172
-115.0,115,80.213385
-85.0,85,80.409134
-111.0,111,80.638696
-114.0,114,81.378858
-86.0,86,81.579808
-116.0,116,81.846963
-116.0,116,82.121624
-113.0,113,82.393519
-111.0,111,83.069915
-116.0,116,83.342926
-115.0,115,83.602851
-112.0,112,83.861479
-86.0,86,84.053322
-85.0,85,84.255565
-113.0,113,84.970911
-115.0,115,85.247593
-112.0,112,85.535502
-116.0,116,85.874313
-84.0,84,86.069836
-115.0,115,86.341719
-114.0,114,87.016382
-151.0,151,87.35997
-84.0,84,87.551817
-117.0,117,87.824733
-150.0,150,88.158261
-88.0,88,88.362162
-111.0,111,89.091002
-85.0,85,89.2954
-84.0,84,89.492608
-110.0,110,89.757609
-152.0,152,90.116668
-115.0,115,90.886539
-111.0,111,91.148111
-111.0,111,91.395106
-111.0,111,91.657381
-85.0,85,91.858949
-83.0,83,92.048421
-116.0,116,92.795288
-84.0,84,92.989725
-116.0,116,93.263156
-154.0,154,93.603069
-110.0,110,93.849822
-113.0,113,94.095377
-111.0,111,94.830774
-152.0,152,95.179563
-162.0,162,95.544424
-112.0,112,95.794529
-86.0,86,95.982699
-118.0,118,96.69175
-111.0,111,96.929356
-115.0,115,97.196992
-111.0,111,97.447679
-111.0,111,97.694734
-157.0,157,98.498229
-85.0,85,98.694067
-90.0,90,98.88689
-84.0,84,99.086787
-87.0,87,99.276399
-117.0,117,99.534976
-92.0,92,100.128847
-148.0,148,100.454205
-170.0,170,100.834428
-112.0,112,101.085383
-112.0,112,101.333576
-114.0,114,101.991317
-118.0,118,102.247075
-115.0,115,102.515129
-87.0,87,102.702765
-114.0,114,102.958394
-117.0,117,103.213767
-85.0,85,103.848808
-116.0,116,104.104891
-118.0,118,104.366913
-84.0,84,104.562986
-114.0,114,104.814824
-88.0,88,105.006294
-114.0,114,105.651274
-112.0,112,105.90425
-119.0,119,106.183175
-115.0,115,106.446579
-111.0,111,106.696555
-85.0,85,106.875505
-95.0,95,107.565139
-87.0,87,107.767505
-154.0,154,108.112413
-95.0,95,108.327097
-111.0,111,108.583233
-89.0,89,108.789375
-116.0,116,109.525456
-86.0,86,109.714067
-86.0,86,109.916467
-85.0,85,110.104983
-84.0,84,110.288475
-114.0,114,110.542766
-87.0,87,111.16555
-111.0,111,111.415715
-117.0,117,111.675472
-112.0,112,111.928967
-168.0,168,112.322534
-86.0,86,112.511732
-111.0,111,113.15654
-86.0,86,113.344403
-115.0,115,113.602756
-116.0,116,113.874383
-112.0,112,114.126836
-84.0,84,114.314873
-113.0,113,115.085453
-157.0,157,115.442598
-117.0,117,115.702695
-155.0,155,116.056815
-89.0,89,116.250459
-162.0,162,117.076539
-111.0,111,117.312425
-115.0,115,117.577175
-90.0,90,117.767348
-151.0,151,118.109352
-117.0,117,118.828221
-115.0,115,119.08047
-112.0,112,119.329033
-111.0,111,119.579328
-116.0,116,119.821296
-89.0,89,120.398783
-114.0,114,120.647159
-160.0,160,121.002143
-111.0,111,121.249528
-91.0,91,121.459395
-86.0,86,121.643922
-159.0,159,122.394619
-116.0,116,122.648151
-115.0,115,122.899117
-115.0,115,123.163858
-150.0,150,123.489037
-112.0,112,124.214983
-117.0,117,124.470537
-160.0,160,124.824012
-153.0,153,125.17001
-111.0,111,125.880049
-111.0,111,126.132771
-90.0,90,126.329413
-112.0,112,126.580087
-111.0,111,126.836401
-85.0,85,127.039854
-163.0,163,127.84356
-154.0,154,128.187766
-114.0,114,128.461129
-111.0,111,128.712582
-114.0,114,128.974981
-87.0,87,129.580147
-112.0,112,129.84074
-113.0,113,130.099864
-114.0,114,130.359731
-111.0,111,130.611154
-173.0,173,131.461568
