#{"t_start": 1602513406.337769, "env_id": null}
r,l,t
-500.0,500,2.842343
-500.0,500,7.52734
-500.0,500,14.950173
-500.0,500,19.437436
-339.0,340,21.268211
-290.0,291,24.869594
-188.0,189,25.84931
-206.0,207,26.834817
-124.0,125,28.256033
-116.0,117,28.824893
-140.0,141,29.61284
-135.0,136,30.268862
-139.0,140,31.044323
-127.0,128,33.071465
-144.0,145,33.895151
-122.0,123,34.483059
-186.0,187,35.456919
-104.0,105,36.042329
-105.0,106,37.293158
-145.0,146,38.057082
-96.0,97,38.515368
-99.0,100,39.010134
-99.0,100,39.597786
-100.0,101,40.841673
-86.0,87,41.274445
-103.0,104,41.905003
-92.0,93,42.372318
-99.0,100,42.963296
-101.0,102,43.452255
-91.0,92,43.890334
-73.0,74,45.155363
-105.0,106,45.634638
-80.0,81,46.036769
-114.0,115,46.662966
-103.0,104,47.160232
-81.0,82,47.677263
-82.0,83,48.052986
-90.0,91,49.344108
-114.0,115,49.979475
-107.0,108,50.489442
-81.0,82,50.892266
-83.0,84,51.333103
-69.0,70,51.610769
-98.0,99,52.72235
-91.0,92,53.268818
-222.0,223,54.446954
-88.0,89,54.871852
-99.0,100,55.35501
-102.0,103,56.703038
-108.0,109,57.277009
-88.0,89,57.831398
-81.0,82,58.266966
-75.0,76,58.661213
-108.0,109,59.346811
-98.0,99,59.855039
-85.0,86,61.074553
-102.0,103,61.651565
-96.0,97,62.141261
-95.0,96,62.734766
-84.0,85,63.15132
-91.0,92,63.569618
-75.0,76,63.981197
-80.0,81,65.315338
-72.0,73,65.703909
-81.0,82,66.090446
-78.0,79,66.571947
-75.0,76,66.956729
-159.0,160,67.865995
-71.0,72,68.230903
-92.0,93,69.414653
-92.0,93,69.99093
-118.0,119,70.633023
-98.0,99,71.275147
-93.0,94,71.747682
-70.0,71,72.119622
-82.0,83,72.53315
-110.0,111,73.947412
-78.0,79,74.347517
-94.0,95,74.973219
-95.0,96,75.414626
-81.0,82,75.850971
-79.0,80,76.40925
-187.0,188,78.318528
-150.0,151,79.174707
-90.0,91,79.595487
-69.0,70,80.053695
-86.0,87,80.478817
-79.0,80,80.893507
-105.0,106,82.272479
-91.0,92,82.727818
-62.0,63,83.012552
-160.0,161,83.912268
-88.0,89,84.380943
-83.0,84,84.922286
-91.0,92,85.41137
-75.0,76,86.509849
-72.0,73,86.868756
-73.0,74,87.334266
-78.0,79,87.719169
-108.0,109,88.247504
