#{"t_start": 1602513406.339512, "env_id": null}
r,l,t
-500.0,500,2.840827
-500.0,500,7.525844
-500.0,500,14.949339
-500.0,500,19.435917
-357.0,358,21.348485
-159.0,160,24.199256
-183.0,184,25.212511
-165.0,166,26.071704
-131.0,132,26.708603
-132.0,133,28.16971
-109.0,110,28.690458
-136.0,137,29.463301
-139.0,140,30.139496
-116.0,117,30.792781
-134.0,135,32.846796
-110.0,111,33.499418
-108.0,109,34.043802
-119.0,120,34.721674
-94.0,95,35.165539
-96.0,97,35.597859
-83.0,84,36.859096
-129.0,130,37.468898
-108.0,109,38.059481
-84.0,85,38.462621
-109.0,110,39.00239
-88.0,89,39.527542
-100.0,101,40.78643
-89.0,90,41.222201
-87.0,88,41.776836
-139.0,140,42.470918
-74.0,75,42.944339
-94.0,95,43.403168
-150.0,151,45.026276
-100.0,101,45.493723
-84.0,85,45.909058
-107.0,108,46.51545
-76.0,77,46.879871
-104.0,105,47.3872
-227.0,228,49.426059
-91.0,92,49.948246
-97.0,98,50.409952
-63.0,64,50.723694
-95.0,96,51.244917
-88.0,89,51.597609
-188.0,189,53.241856
-88.0,89,53.657069
-79.0,80,54.037532
-117.0,118,54.723395
-94.0,95,55.184291
-73.0,74,55.649397
-99.0,100,56.860563
-131.0,132,57.573475
-97.0,98,58.189177
-83.0,84,58.63042
-75.0,76,59.034746
-102.0,103,59.678385
-97.0,98,60.958266
-118.0,119,61.612947
-92.0,93,62.084575
-104.0,105,62.61661
-80.0,81,63.121815
-81.0,82,63.496062
-103.0,104,64.146862
-81.0,82,65.373144
-83.0,84,65.822696
-61.0,62,66.110512
-79.0,80,66.593651
-89.0,90,67.058333
-92.0,93,67.520404
-99.0,100,68.129107
-100.0,101,69.349373
-78.0,79,69.855837
-76.0,77,70.268237
-78.0,79,70.693945
-93.0,94,71.308994
-85.0,86,71.732923
-117.0,118,72.35259
-77.0,78,73.570337
-89.0,90,74.046057
-93.0,94,74.535744
-90.0,91,75.125929
-77.0,78,75.473487
-82.0,83,75.918311
-78.0,79,76.464857
-86.0,87,76.911415
-79.0,80,78.26588
-77.0,78,78.770686
-77.0,78,79.152983
-102.0,103,79.629478
-117.0,118,80.328421
-85.0,86,80.764163
-82.0,83,81.170514
-93.0,94,82.495874
-84.0,85,82.901626
-97.0,98,83.484525
-82.0,83,83.890288
-75.0,76,84.292906
-89.0,90,84.741781
-99.0,100,85.39589
-86.0,87,86.546127
-160.0,161,87.443162
-95.0,96,87.905641
