#{"t_start": 1602513406.358352, "env_id": null}
r,l,t
-500.0,500,2.824588
-500.0,500,7.509635
-500.0,500,14.936954
-500.0,500,19.419408
-364.0,365,21.365258
-208.0,209,24.580879
-241.0,242,25.709806
-153.0,154,26.536654
-175.0,176,28.209226
-124.0,125,28.815397
-98.0,99,29.397613
-129.0,130,30.031486
-161.0,162,30.912299
-89.0,90,32.743299
-110.0,111,33.378486
-145.0,146,34.104886
-129.0,130,34.831329
-114.0,115,35.364291
-93.0,94,35.799744
-106.0,107,37.160726
-111.0,112,37.675636
-117.0,118,38.322054
-111.0,112,38.85762
-111.0,112,39.501709
-139.0,140,40.93824
-95.0,96,41.535237
-109.0,110,42.086445
-84.0,85,42.512196
-80.0,81,43.007379
-98.0,99,43.486624
-111.0,112,44.80161
-272.0,273,46.325181
-94.0,95,46.758857
-83.0,84,47.151186
-94.0,95,47.725844
-86.0,87,48.957011
-104.0,105,49.488751
-260.0,261,50.821336
-84.0,85,51.275831
-81.0,82,51.599948
-94.0,95,52.693018
-77.0,78,53.170272
-98.0,99,53.635984
-89.0,90,54.070429
-81.0,82,54.568566
-83.0,84,54.978487
-108.0,109,55.615319
-82.0,83,56.751651
-195.0,196,57.886297
-85.0,86,58.34493
-198.0,199,59.495069
-92.0,93,59.971688
-81.0,82,61.143913
-90.0,91,61.679632
-88.0,89,62.133366
-97.0,98,62.734428
-75.0,76,63.110213
-76.0,77,63.456423
-89.0,90,63.935004
-71.0,72,65.242867
-90.0,91,65.702469
-93.0,94,66.146886
-67.0,68,66.572592
-95.0,96,67.067305
-78.0,79,67.456126
-97.0,98,68.057833
-252.0,253,70.176772
-104.0,105,70.736543
-79.0,80,71.279251
-85.0,86,71.698759
-90.0,91,72.182991
-115.0,116,73.598443
-74.0,75,73.994919
-131.0,132,74.69622
-88.0,89,75.240916
-83.0,84,75.643084
-97.0,98,76.295956
-140.0,141,77.981204
-79.0,80,78.381816
-193.0,194,79.425831
-71.0,72,79.779299
-79.0,80,80.282096
-94.0,95,80.764873
-96.0,97,81.970198
-86.0,87,82.531434
-147.0,148,83.249682
-83.0,84,83.75523
-63.0,64,84.069628
-91.0,92,84.556242
-85.0,86,85.132167
-101.0,102,86.367239
-80.0,81,86.764611
-89.0,90,87.311328
-87.0,88,87.740698
-61.0,62,88.03332
