#{"t_start": 1602513406.336112, "env_id": null}
r,l,t
-500.0,500,2.843771
-500.0,500,7.52875
-500.0,500,14.951033
-500.0,500,19.438856
-261.0,262,20.813708
-254.0,255,24.194683
-270.0,271,25.60029
-191.0,192,26.611371
-177.0,178,28.287198
-164.0,165,29.088006
-98.0,99,29.667942
-119.0,120,30.250305
-118.0,119,30.927862
-123.0,124,32.913232
-139.0,140,33.734362
-117.0,118,34.291192
-100.0,101,34.880496
-69.0,70,35.202689
-117.0,118,35.739182
-88.0,89,37.012125
-95.0,96,37.46785
-127.0,128,38.149873
-93.0,94,38.593289
-116.0,117,39.164306
-107.0,108,39.800208
-95.0,96,41.009048
-90.0,91,41.582042
-121.0,122,42.198764
-123.0,124,42.910178
-91.0,92,43.356308
-96.0,97,43.821085
-110.0,111,45.241883
-107.0,108,45.74722
-87.0,88,46.282864
-81.0,82,46.650426
-80.0,81,47.036542
-87.0,88,47.471569
-78.0,79,47.948918
-126.0,127,49.403088
-125.0,126,50.08428
-92.0,93,50.526002
-97.0,98,51.10304
-84.0,85,51.439405
-78.0,79,51.755305
-90.0,91,52.945912
-79.0,80,53.337785
-87.0,88,53.738218
-80.0,81,54.242767
-119.0,120,54.826983
-75.0,76,55.19569
-83.0,84,55.711829
-153.0,154,57.240304
-62.0,63,57.562398
-91.0,92,58.153822
-89.0,90,58.618206
-70.0,71,59.005742
-74.0,75,59.490504
-71.0,72,59.862941
-82.0,83,61.06546
-99.0,100,61.626479
-99.0,100,62.135065
-83.0,84,62.564642
-94.0,95,63.134408
-82.0,83,63.512445
-90.0,91,63.990348
-99.0,100,65.415993
-91.0,92,65.896266
-82.0,83,66.39863
-102.0,103,66.903779
-96.0,97,67.395031
-75.0,76,67.87732
-77.0,78,68.271844
-90.0,91,69.441797
-70.0,71,69.913067
-96.0,97,70.431881
-83.0,84,70.88102
-77.0,78,71.405492
-62.0,63,71.711513
-73.0,74,72.10386
-94.0,95,72.680234
-102.0,103,73.955194
-101.0,102,74.488138
-77.0,78,75.00882
-69.0,70,75.326611
-110.0,111,75.902972
-78.0,79,76.454937
-84.0,85,76.892546
-84.0,85,78.268808
-87.0,88,78.816343
-181.0,182,79.691954
-63.0,64,80.12699
-72.0,73,80.475405
-71.0,72,80.844752
-78.0,79,81.958256
-91.0,92,82.551432
-98.0,99,83.013919
-79.0,80,83.516346
-91.0,92,83.967449
-87.0,88,84.436644
-79.0,80,84.948288
-86.0,87,85.421132
-86.0,87,86.56693
-202.0,203,87.669855
-112.0,113,88.217378
