#{"t_start": 1602513406.349787, "env_id": null}
r,l,t
-500.0,500,2.83201
-500.0,500,7.517003
-500.0,500,14.942682
-500.0,500,19.426923
-370.0,371,21.399988
-269.0,270,24.904243
-229.0,230,26.078665
-216.0,217,27.217013
-138.0,139,28.607953
-153.0,154,29.45856
-160.0,161,30.238527
-102.0,103,30.831646
-147.0,148,32.942168
-83.0,84,33.457325
-148.0,149,34.200113
-104.0,105,34.799912
-99.0,100,35.274316
-108.0,109,35.764126
-118.0,119,37.185558
-108.0,109,37.68825
-163.0,164,38.54616
-100.0,101,39.048211
-92.0,93,39.6029
-97.0,98,40.830943
-83.0,84,41.249388
-83.0,84,41.776607
-96.0,97,42.27016
-92.0,93,42.840167
-145.0,146,43.532588
-95.0,96,43.987569
-90.0,91,45.312084
-93.0,94,45.751996
-80.0,81,46.259128
-75.0,76,46.602424
-96.0,97,47.062201
-93.0,94,47.628402
-81.0,82,48.006407
-89.0,90,49.290531
-85.0,86,49.817272
-72.0,73,50.129052
-76.0,77,50.49592
-94.0,95,51.063067
-79.0,80,51.378062
-74.0,75,51.671697
-75.0,76,52.681638
-90.0,91,53.228625
-116.0,117,53.772575
-107.0,108,54.417552
-74.0,75,54.772073
-80.0,81,55.163877
-72.0,73,55.622972
-78.0,79,56.740902
-94.0,95,57.257935
-76.0,77,57.752362
-95.0,96,58.256919
-76.0,77,58.657794
-117.0,118,59.38437
-77.0,78,59.794206
-91.0,92,61.040067
-107.0,108,61.642591
-80.0,81,62.050627
-99.0,100,62.561683
-86.0,87,63.085993
-74.0,75,63.430453
-87.0,88,63.881631
-87.0,88,65.274742
-72.0,73,65.649267
-81.0,82,66.045491
-95.0,96,66.601005
-99.0,100,67.116324
-121.0,122,67.829535
-165.0,166,69.38606
-82.0,83,69.911879
-70.0,71,70.294445
-85.0,86,70.752163
-313.0,314,72.480024
-76.0,77,73.698399
-178.0,179,74.657211
-96.0,97,75.24812
-78.0,79,75.629876
-102.0,103,76.303513
-79.0,80,76.733415
-76.0,77,78.075974
-77.0,78,78.461107
-84.0,85,78.962182
-77.0,78,79.352754
-92.0,93,79.806967
-183.0,184,80.832507
-75.0,76,81.92784
-83.0,84,82.480651
-86.0,87,82.896151
-70.0,71,83.249826
-87.0,88,83.777228
-63.0,64,84.093682
-108.0,109,84.663245
-88.0,89,85.270686
-81.0,82,86.39126
-93.0,94,86.853147
-90.0,91,87.404807
-75.0,76,87.772308
