#{"t_start": 1602513406.3548958, "env_id": null}
r,l,t
-500.0,500,2.827592
-500.0,500,7.512629
-500.0,500,14.939282
-500.0,500,19.42244
-373.0,374,21.406966
-163.0,164,24.287293
-259.0,260,25.627428
-99.0,100,26.203067
-175.0,176,27.143438
-161.0,162,28.646882
-135.0,136,29.41114
-132.0,133,30.056573
-159.0,160,30.927612
-111.0,112,32.856905
-106.0,107,33.489474
-90.0,91,33.95604
-116.0,117,34.510383
-125.0,126,35.204294
-106.0,107,35.688401
-83.0,84,36.939752
-102.0,103,37.426506
-84.0,85,37.82268
-81.0,82,38.296209
-87.0,88,38.712555
-103.0,104,39.328796
-90.0,91,39.77423
-167.0,168,41.457233
-84.0,85,41.891214
-94.0,95,42.365186
-97.0,98,42.949093
-117.0,118,43.518413
-90.0,91,43.951389
-108.0,109,45.355757
-74.0,75,45.710966
-111.0,112,46.365051
-79.0,80,46.727394
-84.0,85,47.122503
-96.0,97,47.711763
-188.0,189,49.455633
-94.0,95,49.993666
-82.0,83,50.382678
-89.0,90,50.823941
-120.0,121,51.426338
-106.0,107,51.876382
-90.0,91,53.070458
-90.0,91,53.503849
-77.0,78,53.868271
-103.0,104,54.49446
-70.0,71,54.830385
-80.0,81,55.22127
-86.0,87,55.752558
-85.0,86,56.905904
-95.0,96,57.427571
-96.0,97,58.042691
-92.0,93,58.517843
-81.0,82,58.973346
-75.0,76,59.458009
-97.0,98,59.966309
-100.0,101,61.221235
-75.0,76,61.692252
-77.0,78,62.09209
-76.0,77,62.489317
-83.0,84,62.998844
-75.0,76,63.342606
-80.0,81,63.755943
-83.0,84,64.307479
-92.0,93,65.604559
-84.0,85,66.018265
-101.0,102,66.605744
-82.0,83,67.040445
-94.0,95,67.510508
-102.0,103,68.141816
-74.0,75,69.231517
-120.0,121,69.949758
-80.0,81,70.384754
-83.0,84,70.830213
-92.0,93,71.423588
-86.0,87,71.872023
-72.0,73,72.252667
-76.0,77,72.729101
-77.0,78,73.871231
-275.0,276,75.379693
-129.0,130,76.084846
-136.0,137,76.91133
-81.0,82,78.274176
-82.0,83,78.795277
-70.0,71,79.149178
-65.0,66,79.453254
-90.0,91,80.006092
-89.0,90,80.450628
-85.0,86,80.891804
-84.0,85,82.149681
-76.0,77,82.551771
-74.0,75,82.901771
-86.0,87,83.331189
-96.0,97,83.905105
-90.0,91,84.385918
-113.0,114,85.093798
-84.0,85,86.244734
-116.0,117,86.829243
-74.0,75,87.297203
-91.0,92,87.748356
-93.0,94,88.206526
