#{"t_start": 1602513406.3514812, "env_id": null}
r,l,t
-500.0,500,2.830549
-500.0,500,7.515548
-500.0,500,14.941479
-500.0,500,19.425437
-268.0,269,20.829103
-177.0,178,21.801573
-211.0,212,24.996971
-184.0,185,25.945324
-124.0,125,26.535509
-146.0,147,27.339797
-102.0,103,28.565864
-125.0,126,29.287918
-261.0,262,30.637268
-98.0,99,31.126398
-114.0,115,33.085333
-96.0,97,33.679984
-96.0,97,34.138978
-105.0,106,34.750006
-149.0,150,35.453259
-107.0,108,36.794914
-90.0,91,37.23086
-86.0,87,37.639124
-81.0,82,38.108238
-94.0,95,38.556034
-101.0,102,39.059736
-76.0,77,39.52519
-94.0,95,40.757815
-97.0,98,41.234111
-120.0,121,41.955218
-87.0,88,42.389376
-92.0,93,42.95199
-86.0,87,43.36945
-121.0,122,43.954346
-95.0,96,45.301838
-89.0,90,45.724698
-110.0,111,46.372001
-64.0,65,46.658674
-83.0,84,47.060804
-99.0,100,47.660852
-95.0,96,48.930952
-92.0,93,49.398202
-91.0,92,49.925512
-100.0,101,50.399426
-79.0,80,50.788996
-150.0,151,51.518018
-79.0,80,51.858302
-91.0,92,53.057683
-84.0,85,53.464665
-84.0,85,53.863007
-88.0,89,54.416153
-147.0,148,55.127522
-88.0,89,55.665262
-84.0,85,56.803203
-89.0,90,57.303294
-78.0,79,57.804176
-87.0,88,58.27651
-108.0,109,58.869904
-96.0,97,59.45711
-64.0,65,59.796667
-101.0,102,61.092265
-89.0,90,61.602239
-83.0,84,62.031653
-80.0,81,62.452598
-86.0,87,62.971768
-86.0,87,63.37101
-86.0,87,63.819123
-61.0,62,64.258998
-76.0,77,65.461339
-71.0,72,65.836427
-93.0,94,66.390357
-97.0,98,66.872744
-106.0,107,67.409338
-76.0,77,67.899976
-97.0,98,68.389082
-113.0,114,69.793208
-88.0,89,70.26549
-74.0,75,70.668501
-76.0,77,71.070182
-86.0,87,71.614774
-107.0,108,72.193137
-89.0,90,72.732061
-82.0,83,73.902665
-189.0,190,75.016937
-86.0,87,75.417346
-90.0,91,75.895337
-65.0,66,76.381599
-89.0,90,76.842071
-81.0,82,78.212547
-82.0,83,78.739637
-83.0,84,79.147481
-94.0,95,79.589066
-155.0,156,80.467832
-106.0,107,81.008338
-82.0,83,82.278857
-62.0,63,82.597322
-78.0,79,82.958221
-79.0,80,83.356912
-87.0,88,83.889088
-77.0,78,84.307395
-68.0,69,84.648345
-62.0,63,85.103411
-74.0,75,86.198941
-71.0,72,86.563433
-82.0,83,87.080082
-81.0,82,87.478802
-88.0,89,87.907198
