#{"t_start": 1602513406.346369, "env_id": null}
r,l,t
-500.0,500,2.834864
-500.0,500,7.519945
-500.0,500,14.944989
-500.0,500,19.429917
-414.0,415,21.640882
-268.0,269,25.124981
-158.0,159,25.946084
-134.0,135,26.592014
-132.0,133,27.322646
-182.0,183,28.940474
-150.0,151,29.78303
-161.0,162,30.64173
-117.0,118,31.232695
-106.0,107,33.136451
-135.0,136,33.934374
-121.0,122,34.510242
-95.0,96,35.062654
-101.0,102,35.532104
-82.0,83,36.020394
-153.0,154,37.502182
-99.0,100,38.045333
-128.0,129,38.658712
-123.0,124,39.368956
-149.0,150,40.852745
-85.0,86,41.283019
-79.0,80,41.787725
-110.0,111,42.349537
-87.0,88,42.886532
-131.0,132,43.521288
-85.0,86,43.928713
-111.0,112,45.351255
-106.0,107,45.862067
-93.0,94,46.421018
-73.0,74,46.758867
-82.0,83,47.147717
-98.0,99,47.740691
-106.0,107,49.086685
-90.0,91,49.533002
-116.0,117,50.1609
-89.0,90,50.601012
-78.0,79,51.082155
-86.0,87,51.426173
-87.0,88,51.781168
-83.0,84,52.94345
-112.0,113,53.482728
-80.0,81,53.863388
-83.0,84,54.393218
-110.0,111,54.916846
-90.0,91,55.362178
-78.0,79,55.848506
-75.0,76,56.969735
-99.0,100,57.501006
-77.0,78,58.008256
-82.0,83,58.445048
-71.0,72,58.849183
-81.0,82,59.366254
-98.0,99,59.873582
-78.0,79,61.056391
-92.0,93,61.578299
-95.0,96,62.069324
-90.0,91,62.53951
-76.0,77,63.012611
-99.0,100,63.477747
-107.0,108,64.14954
-76.0,77,65.353262
-101.0,102,65.882144
-81.0,82,66.381083
-82.0,83,66.780075
-219.0,220,67.99431
-161.0,162,69.523453
-73.0,74,70.015787
-82.0,83,70.462332
-105.0,106,71.023229
-143.0,144,71.875846
-74.0,75,72.265526
-77.0,78,73.494658
-74.0,75,73.871333
-86.0,87,74.32833
-84.0,85,74.897298
-77.0,78,75.275106
-169.0,170,76.273
-76.0,77,76.692187
-181.0,182,78.659624
-77.0,78,79.02371
-76.0,77,79.401347
-85.0,86,79.824848
-62.0,63,80.244152
-84.0,85,80.670105
-91.0,92,81.121893
-100.0,101,82.48324
-87.0,88,82.903322
-85.0,86,83.329579
-62.0,63,83.73877
-88.0,89,84.19223
-93.0,94,84.671677
-500.0,500,88.103388
