#{"t_start": 1602513406.342939, "env_id": null}
r,l,t
-500.0,500,2.837845
-500.0,500,7.522897
-500.0,500,14.947307
-500.0,500,19.432919
-240.0,241,20.71761
-395.0,396,24.892972
-193.0,194,25.892483
-198.0,199,26.843582
-135.0,136,28.320993
-149.0,150,29.046232
-94.0,95,29.614386
-129.0,130,30.239492
-96.0,97,30.796543
-131.0,132,32.834575
-125.0,126,33.570724
-146.0,147,34.285134
-114.0,115,34.941637
-125.0,126,35.519287
-91.0,92,36.787797
-112.0,113,37.326389
-88.0,89,37.741057
-105.0,106,38.331437
-107.0,108,38.845513
-114.0,115,39.505603
-89.0,90,39.949373
-120.0,121,41.303319
-91.0,92,41.877396
-89.0,90,42.32557
-89.0,90,42.878692
-90.0,91,43.31438
-252.0,253,45.403603
-101.0,102,45.902
-93.0,94,46.451
-308.0,309,48.012467
-87.0,88,49.287477
-102.0,103,49.881579
-84.0,85,50.264086
-96.0,97,50.734048
-89.0,90,51.230265
-70.0,71,51.514272
-194.0,195,53.161212
-73.0,74,53.51457
-94.0,95,53.964034
-88.0,89,54.515369
-96.0,97,54.977255
-78.0,79,55.360701
-86.0,87,55.892466
-87.0,88,57.079942
-87.0,88,57.540462
-73.0,74,58.03168
-89.0,90,58.496143
-79.0,80,58.952499
-82.0,83,59.464703
-90.0,91,59.937921
-91.0,92,61.157857
-98.0,99,61.734192
-80.0,81,62.147047
-73.0,74,62.53204
-93.0,94,63.086676
-71.0,72,63.417265
-92.0,93,63.894125
-77.0,78,65.249573
-97.0,98,65.74344
-83.0,84,66.136832
-107.0,108,66.766661
-73.0,74,67.140887
-80.0,81,67.543979
-67.0,68,67.990117
-72.0,73,68.356032
-207.0,208,70.256431
-98.0,99,70.790573
-72.0,73,71.293083
-77.0,78,71.673357
-78.0,79,72.089882
-79.0,80,72.491465
-76.0,77,73.708536
-94.0,95,74.223612
-136.0,137,75.046877
-92.0,93,75.47555
-76.0,77,75.887159
-100.0,101,76.557721
-102.0,103,78.031982
-74.0,75,78.411902
-76.0,77,78.883728
-90.0,91,79.328299
-84.0,85,79.736931
-77.0,78,80.237576
-93.0,94,80.713847
-84.0,85,81.124863
-76.0,77,82.360524
-121.0,122,82.952453
-94.0,95,83.526464
-92.0,93,83.981432
-81.0,82,84.420999
-83.0,84,84.953646
-79.0,80,85.387554
-84.0,85,86.530704
-93.0,94,87.096829
-92.0,93,87.546644
-105.0,106,88.056655
